no_survey,visit_id,visit_date,checkin_time,checkout_time,checkin_latitude,checkin_longitude,customer_code,customer_name,cluster_name,provinsi_id,provinsi,area_id,area_name,kabupaten_id,kabupaten,sap_code,salesman,salesman_id,distributor_code,distributor_name,id_supervisor,supervisor,product_code,product_name,stock,volume_sales,cost_price,order_date,volume_order,sale_price,kapasitas_jual,kapasitas_gudang,kemasan,brand,brand_group
SRV-20260101-7130,VAtlas-20260101-785,2026-01-01,16:11:00,16:32:00,-3.97309879348891,107.473143436097,CUAtlas-101401-3,Toko Survey 101401 3,Super Platinum,1014,KEPULAUAN RIAU,Fonda,AREA 17 KEP. RIAU,101401,KABUPATEN BINTAN,SAP-CUAtlas-101401-3,Salesman S70,SLS-070,SD-1014-01,PT Distributor Kepulauan Riau 01,FondaV-020,Supervisor F20,PRD-990,Semen Primebase Standar,400,44,53902,2025-12-29,38,56057,204,1135,40 Kg,Primebase,SIG
SRV-20260101-7079,VAtlas-20260101-211,2026-01-01,11:12:00,11:30:00,-9.07617364537137,115.834889243267,CUAtlas-101002-1,Toko Survey 101002 1,Bronze,1010,ACEH,Fonda,AREA 01 BANDA ACEH,101002,KOTA BANDA ACEH,SAP-CUAtlas-101002-1,Salesman W48,SLS-048,SD-1010-01,PT Distributor Aceh 01,FondaV-009,Supervisor Q9,PRD-842,Semen TIDAR Standar,248,34,49777,2025-12-29,158,66393,288,1335,50 Kg,TIDAR,INTP
SRV-20260101-9656,VAtlas-20260101-778,2026-01-01,13:29:00,14:07:00,3.49572063926719,105.647840659667,CUAtlas-104201-0,Toko Survey 104201 0,Platinum,1042,PAPUA BARAT,Atlas,AREA 93 MANOKWARI,104201,KABUPATEN MANOKWARI,SAP-CUAtlas-104201-0,Salesman H33,SLS-033,SD-1042-01,PT Distributor Papua Barat 01,FondaV-015,Supervisor K15,PRD-909,Semen Fonda Premium,57,70,52279,2025-12-28,107,66211,576,1181,40 Kg,Fonda,SIG
SRV-20260101-8542,VAtlas-20260101-790,2026-01-01,14:33:00,15:06:00,4.1842979225634,103.744678416475,CUAtlas-103702-1,Toko Survey 103702 1,Super Platinum,1037,SULAWESI UTARA,Atlas,AREA 85 MINAHASA,103702,KOTA MANADO,SAP-CUAtlas-103702-1,Salesman F83,SLS-083,SD-1037-02,PT Distributor Sulawesi Utara 02,FondaV-010,Supervisor P10,PRD-481,Semen Fonda Premium,455,76,48437,2025-12-27,67,66739,599,1383,50 Kg,Fonda,SIG
SRV-20260101-3395,VAtlas-20260101-191,2026-01-01,13:51:00,14:36:00,-8.90051988421736,107.484602203607,CUAtlas-104002-0,Toko Survey 104002 0,Platinum,1040,MALUKU UTARA,Atlas,AREA 91 MALUKU UTARA,104002,KOTA TERNATE,SAP-CUAtlas-104002-0,Salesman Q68,SLS-068,SD-1040-03,PT Distributor Maluku Utara 03,FondaV-020,Supervisor F20,PRD-396,Semen RAJASA Premium,471,27,53104,2025-12-28,73,59063,747,1411,40 Kg,RAJASA,INTP
SRV-20260101-1299,VAtlas-20260101-434,2026-01-01,11:36:00,12:00:00,-3.13649797224241,109.926550941811,CUAtlas-102801-2,Toko Survey 102801 2,Super Platinum,1028,NUSA TENGGARA TIMUR,Atlas,AREA 90 KUPANG,102801,KABUPATEN KUPANG,SAP-CUAtlas-102801-2,Salesman O92,SLS-092,SD-1028-01,PT Distributor Nusa Tenggara Timur 01,FondaV-019,Supervisor G19,PRD-117,Semen Vanguard Premium,455,19,52468,2025-12-25,89,68090,633,618,50 Kg,Vanguard,SIG
SRV-20260101-9781,VAtlas-20260101-107,2026-01-01,10:30:00,10:55:00,4.03923917127483,98.7940024604582,CUAtlas-103001-4,Toko Survey 103001 4,Silver,1030,KALIMANTAN SELATAN,Atlas,AREA 65 BANJARMASIN,103001,KABUPATEN BANJAR,SAP-CUAtlas-103001-4,Salesman L89,SLS-089,SD-1030-02,PT Distributor Kalimantan Selatan 02,FondaV-017,Supervisor I17,PRD-340,Semen Omnicore Premium,350,43,48097,2025-12-26,95,63614,644,626,40 Kg,Omnicore,SIG
SRV-20260101-2220,VAtlas-20260101-688,2026-01-01,12:07:00,12:40:00,-9.60076562321283,102.331150989215,CUAtlas-101302-1,Toko Survey 101302 1,Bronze,1013,RIAU,Fonda,AREA 13 PEKANBARU,101302,KOTA PEKANBARU,SAP-CUAtlas-101302-1,Salesman S44,SLS-044,SD-1013-01,PT Distributor Riau 01,FondaV-012,Supervisor N12,PRD-216,Semen Monolith Premium,110,22,45884,2025-12-28,15,63720,908,912,50 Kg,Monolith,SIG
SRV-20260101-3349,VAtlas-20260101-206,2026-01-01,13:01:00,13:25:00,-7.72069084597033,115.582461497907,CUAtlas-101701-2,Toko Survey 101701 2,Platinum,1017,KEPULAUAN BANGKA BELITUNG,Omnicore,AREA 28 BANGKA BLTNG,101701,KABUPATEN BANGKA,SAP-CUAtlas-101701-2,Salesman R17,SLS-017,SD-1017-01,PT Distributor Kepulauan Bangka Belitung 01,FondaV-019,Supervisor G19,PRD-443,Semen Primebase Premium,127,61,54577,2025-12-25,174,66968,316,1270,40 Kg,Primebase,SIG
SRV-20260102-3793,VAtlas-20260102-627,2026-01-02,09:11:00,09:45:00,2.79875908596396,136.528284608295,CUAtlas-103401-2,Toko Survey 103401 2,Bronze,1034,SULAWESI BARAT,Atlas,AREA 75 POLEWALI MDR,103401,KABUPATEN MAJENE,SAP-CUAtlas-103401-2,Salesman W74,SLS-074,SD-1034-01,PT Distributor Sulawesi Barat 01,FondaV-002,Supervisor X2,PRD-297,Semen Monolith Premium,50,94,45532,2025-12-27,11,61144,370,1200,40 Kg,Monolith,SIG
SRV-20260102-1094,VAtlas-20260102-540,2026-01-02,11:00:00,11:21:00,-0.917137075017306,105.103960123013,CUAtlas-101202-3,Toko Survey 101202 3,Silver,1012,SUMATERA BARAT,Fonda,AREA 10 PADANG,101202,KOTA PADANG,SAP-CUAtlas-101202-3,Salesman E82,SLS-082,SD-1012-02,PT Distributor Sumatera Barat 02,FondaV-001,Supervisor Y1,PRD-142,Semen RAJASA Standar,283,38,50417,2025-12-29,97,61745,321,820,40 Kg,RAJASA,INTP
SRV-20260102-8819,VAtlas-20260102-311,2026-01-02,15:32:00,15:53:00,3.39331575535522,101.36147696314,CUAtlas-103801-3,Toko Survey 103801 3,Platinum,1038,GORONTALO,Atlas,AREA 83 GORONTALO,103801,KABUPATEN GORONTALO,SAP-CUAtlas-103801-3,Salesman A78,SLS-078,SD-1038-02,PT Distributor Gorontalo 02,FondaV-010,Supervisor P10,PRD-803,Semen TerraBlock Premium,271,70,48741,2026-01-01,184,60770,795,1958,50 Kg,TerraBlock,SIG
SRV-20260102-1952,VAtlas-20260102-207,2026-01-02,09:55:00,10:40:00,-2.15976377485734,117.820462996877,CUAtlas-102403-3,Toko Survey 102403 3,Super Platinum,1024,DI YOGYAKARTA,Omnicore,AREA 47 YOGYAKARTA,102403,KABUPATEN BANTUL,SAP-CUAtlas-102403-3,Salesman A52,SLS-052,SD-1024-02,PT Distributor Di Yogyakarta 02,FondaV-006,Supervisor T6,PRD-416,Semen Primebase Standar,329,6,52755,2026-01-01,55,58265,930,533,40 Kg,Primebase,SIG
SRV-20260102-1859,VAtlas-20260102-299,2026-01-02,15:40:00,16:23:00,-2.52730730370813,133.651606908304,CUAtlas-102301-0,Toko Survey 102301 0,Silver,1023,JAWA TENGAH,Omnicore,AREA 42 PURWOKERTO,102301,KABUPATEN BANYUMAS,SAP-CUAtlas-102301-0,Salesman Y50,SLS-050,SD-1023-03,PT Distributor Jawa Tengah 03,FondaV-012,Supervisor N12,PRD-284,Semen SANJAYA Premium,271,87,47914,2026-01-01,34,64083,519,759,40 Kg,SANJAYA,INTP
SRV-20260102-1665,VAtlas-20260102-535,2026-01-02,10:45:00,11:22:00,3.32432847073425,104.466286326527,CUAtlas-104201-2,Toko Survey 104201 2,Silver,1042,PAPUA BARAT,Atlas,AREA 93 MANOKWARI,104201,KABUPATEN MANOKWARI,SAP-CUAtlas-104201-2,Salesman U98,SLS-098,SD-1042-01,PT Distributor Papua Barat 01,FondaV-017,Supervisor I17,PRD-710,Semen GAMA Standar,231,35,45736,2025-12-27,189,57909,330,304,40 Kg,GAMA,INTP
SRV-20260102-3661,VAtlas-20260102-245,2026-01-02,16:01:00,16:30:00,-5.95022131484897,97.0558695513605,CUAtlas-101002-4,Toko Survey 101002 4,Platinum,1010,ACEH,Fonda,AREA 01 BANDA ACEH,101002,KOTA BANDA ACEH,SAP-CUAtlas-101002-4,Salesman F83,SLS-083,SD-1010-01,PT Distributor Aceh 01,FondaV-008,Supervisor R8,PRD-138,Semen Primebase Standar,201,67,53712,2025-12-27,119,63073,876,587,50 Kg,Primebase,SIG
SRV-20260102-1496,VAtlas-20260102-567,2026-01-02,11:07:00,11:27:00,-5.07714664808895,129.851103412998,CUAtlas-102103-2,Toko Survey 102103 2,Super Platinum,1021,DKI JAKARTA,Omnicore,AREA 34 JAKARTA,102103,KOTA JAKARTA SELATAN,SAP-CUAtlas-102103-2,Salesman C2,SLS-002,SD-1021-03,PT Distributor Dki Jakarta 03,FondaV-002,Supervisor X2,PRD-272,Semen BINTA Premium,428,8,49608,2025-12-28,157,63869,852,1766,40 Kg,BINTA,INTP
SRV-20260102-4054,VAtlas-20260102-968,2026-01-02,10:48:00,11:08:00,-0.612586199893521,136.638906779394,CUAtlas-101802-3,Toko Survey 101802 3,Silver,1018,BENGKULU,Fonda,AREA 21 BENGKULU,101802,KOTA BENGKULU,SAP-CUAtlas-101802-3,Salesman N91,SLS-091,SD-1018-03,PT Distributor Bengkulu 03,FondaV-003,Supervisor W3,PRD-136,Semen Vanguard Standar,260,47,48022,2025-12-27,174,68977,937,1761,40 Kg,Vanguard,SIG
SRV-20260102-6641,VAtlas-20260102-706,2026-01-02,08:02:00,08:20:00,-3.70741447686544,128.22159991083,CUAtlas-101602-3,Toko Survey 101602 3,Super Platinum,1016,SUMATERA SELATAN,Monolith,AREA 25 PALEMBANG,101602,KOTA PALEMBANG,SAP-CUAtlas-101602-3,Salesman Z25,SLS-025,SD-1016-01,PT Distributor Sumatera Selatan 01,FondaV-017,Supervisor I17,PRD-985,Semen Fonda Premium,479,92,53846,2025-12-30,50,66320,587,769,40 Kg,Fonda,SIG
SRV-20260102-2666,VAtlas-20260102-962,2026-01-02,11:57:00,12:26:00,-1.9359220540275,135.220798047157,CUAtlas-102101-0,Toko Survey 102101 0,Bronze,1021,DKI JAKARTA,Omnicore,AREA 34 JAKARTA,102101,KOTA JAKARTA BARAT,SAP-CUAtlas-102101-0,Salesman B27,SLS-027,SD-1021-03,PT Distributor Dki Jakarta 03,FondaV-012,Supervisor N12,PRD-763,Semen TIDAR Premium,452,65,48866,2025-12-31,157,69705,631,1296,50 Kg,TIDAR,INTP
SRV-20260102-3455,VAtlas-20260102-727,2026-01-02,15:59:00,16:25:00,-5.06754769362477,127.107561558708,CUAtlas-102901-1,Toko Survey 102901 1,Platinum,1029,KALIMANTAN BARAT,Primebase,AREA 58 PONTIANAK,102901,KABUPATEN KUBU RAYA,SAP-CUAtlas-102901-1,Salesman H7,SLS-007,SD-1029-02,PT Distributor Kalimantan Barat 02,FondaV-005,Supervisor U5,PRD-173,Semen BINTA Premium,493,89,54820,2025-12-26,116,67435,682,581,50 Kg,BINTA,INTP
SRV-20260102-6353,VAtlas-20260102-823,2026-01-02,12:29:00,12:59:00,-7.97749577736697,99.098618248743,CUAtlas-104002-0,Toko Survey 104002 0,Platinum,1040,MALUKU UTARA,Atlas,AREA 91 MALUKU UTARA,104002,KOTA TERNATE,SAP-CUAtlas-104002-0,Salesman W74,SLS-074,SD-1040-03,PT Distributor Maluku Utara 03,FondaV-010,Supervisor P10,PRD-287,Semen RAJASA Premium,127,7,50868,2025-12-30,172,68691,986,1225,50 Kg,RAJASA,INTP
SRV-20260102-9480,VAtlas-20260102-192,2026-01-02,15:05:00,15:35:00,-0.127095166160455,122.687974514017,CUAtlas-104202-1,Toko Survey 104202 1,Silver,1042,PAPUA BARAT,Atlas,AREA 93 MANOKWARI,104202,KOTA SORONG,SAP-CUAtlas-104202-1,Salesman D3,SLS-003,SD-1042-02,PT Distributor Papua Barat 02,FondaV-010,Supervisor P10,PRD-357,Semen Atlas Premium,305,54,52988,2025-12-27,89,62842,597,833,40 Kg,Atlas,SIG
SRV-20260102-3451,VAtlas-20260102-810,2026-01-02,15:57:00,16:31:00,-3.16431493359972,130.025989101077,CUAtlas-102902-0,Toko Survey 102902 0,Bronze,1029,KALIMANTAN BARAT,Primebase,AREA 58 PONTIANAK,102902,KOTA PONTIANAK,SAP-CUAtlas-102902-0,Salesman I60,SLS-060,SD-1029-03,PT Distributor Kalimantan Barat 03,FondaV-017,Supervisor I17,PRD-379,Semen Primebase Standar,212,98,53207,2026-01-01,142,60924,549,1427,40 Kg,Primebase,SIG
SRV-20260102-3484,VAtlas-20260102-494,2026-01-02,14:41:00,15:18:00,2.33908413890092,116.356554227704,CUAtlas-101702-0,Toko Survey 101702 0,Bronze,1017,KEPULAUAN BANGKA BELITUNG,Omnicore,AREA 28 BANGKA BLTNG,101702,KOTA PANGKAL PINANG,SAP-CUAtlas-101702-0,Salesman B53,SLS-053,SD-1017-03,PT Distributor Kepulauan Bangka Belitung 03,FondaV-008,Supervisor R8,PRD-616,Semen Tecton Premium,217,6,50138,2025-12-26,121,64617,336,577,40 Kg,Tecton,SIG
SRV-20260102-1189,VAtlas-20260102-826,2026-01-02,16:16:00,16:32:00,0.96534752905673,124.110089565522,CUAtlas-101502-2,Toko Survey 101502 2,Bronze,1015,JAMBI,Fonda,AREA 18 JAMBI,101502,KOTA JAMBI,SAP-CUAtlas-101502-2,Salesman M64,SLS-064,SD-1015-03,PT Distributor Jambi 03,FondaV-001,Supervisor Y1,PRD-735,Semen RAJASA Standar,458,36,53921,2025-12-30,91,69787,421,1829,50 Kg,RAJASA,INTP
SRV-20260102-9485,VAtlas-20260102-433,2026-01-02,08:25:00,08:59:00,0.184173469131126,130.067786227697,CUAtlas-101502-2,Toko Survey 101502 2,Bronze,1015,JAMBI,Fonda,AREA 18 JAMBI,101502,KOTA JAMBI,SAP-CUAtlas-101502-2,Salesman J35,SLS-035,SD-1015-03,PT Distributor Jambi 03,FondaV-008,Supervisor R8,PRD-377,Semen Vanguard Premium,40,28,45426,2025-12-31,28,66400,898,1816,50 Kg,Vanguard,SIG
SRV-20260102-4514,VAtlas-20260102-977,2026-01-02,08:25:00,09:03:00,-0.538303602651165,117.245680459574,CUAtlas-101901-0,Toko Survey 101901 0,Silver,1019,LAMPUNG,Monolith,AREA 29 BANDAR LMPNG,101901,KABUPATEN LAMPUNG SELATAN,SAP-CUAtlas-101901-0,Salesman X49,SLS-049,SD-1019-03,PT Distributor Lampung 03,FondaV-011,Supervisor O11,PRD-225,Semen Primebase Premium,458,94,52696,2025-12-26,154,69150,128,209,40 Kg,Primebase,SIG
SRV-20260102-6156,VAtlas-20260102-772,2026-01-02,13:38:00,14:21:00,-8.90111284002996,102.22647038971,CUAtlas-103901-0,Toko Survey 103901 0,Platinum,1039,MALUKU,Atlas,AREA 92 MALUKU,103901,KABUPATEN MALUKU TENGAH,SAP-CUAtlas-103901-0,Salesman C28,SLS-028,SD-1039-02,PT Distributor Maluku 02,FondaV-009,Supervisor Q9,PRD-285,Semen Vanguard Premium,476,79,46876,2026-01-01,15,65532,185,1987,40 Kg,Vanguard,SIG
SRV-20260102-4211,VAtlas-20260102-565,2026-01-02,14:49:00,15:32:00,-6.27518572920299,106.373872081866,CUAtlas-101701-3,Toko Survey 101701 3,Platinum,1017,KEPULAUAN BANGKA BELITUNG,Omnicore,AREA 28 BANGKA BLTNG,101701,KABUPATEN BANGKA,SAP-CUAtlas-101701-3,Salesman O40,SLS-040,SD-1017-01,PT Distributor Kepulauan Bangka Belitung 01,FondaV-002,Supervisor X2,PRD-301,Semen Fonda Premium,466,17,52758,2026-01-01,37,65782,241,1160,50 Kg,Fonda,SIG
SRV-20260102-2579,VAtlas-20260102-837,2026-01-02,11:43:00,12:22:00,-2.88684702442153,101.308809011152,CUAtlas-102202-0,Toko Survey 102202 0,Bronze,1022,JAWA BARAT,Omnicore,AREA 35 BOGOR,102202,KOTA BOGOR,SAP-CUAtlas-102202-0,Salesman R69,SLS-069,SD-1022-03,PT Distributor Jawa Barat 03,FondaV-020,Supervisor F20,PRD-577,Semen TIDAR Premium,215,19,51660,2025-12-27,47,59926,450,1413,40 Kg,TIDAR,INTP
SRV-20260102-6940,VAtlas-20260102-350,2026-01-02,14:14:00,14:51:00,4.63415361207718,133.202228609473,CUAtlas-101602-3,Toko Survey 101602 3,Super Platinum,1016,SUMATERA SELATAN,Monolith,AREA 25 PALEMBANG,101602,KOTA PALEMBANG,SAP-CUAtlas-101602-3,Salesman X23,SLS-023,SD-1016-01,PT Distributor Sumatera Selatan 01,FondaV-001,Supervisor Y1,PRD-192,Semen Kinetiq Standar,26,7,49238,2025-12-30,108,64360,610,1365,50 Kg,Kinetiq,SIG
SRV-20260102-4645,VAtlas-20260102-907,2026-01-02,13:45:00,14:17:00,-1.6726776140888,116.308970404441,CUAtlas-104301-4,Toko Survey 104301 4,Super Platinum,1043,KALIMANTAN UTARA,Atlas,AREA 70 TARAKAN,104301,KABUPATEN BULUNGAN,SAP-CUAtlas-104301-4,Salesman P41,SLS-041,SD-1043-02,PT Distributor Kalimantan Utara 02,FondaV-012,Supervisor N12,PRD-507,Semen TIDAR Standar,237,14,51841,2026-01-01,77,61996,880,927,50 Kg,TIDAR,INTP
SRV-20260103-8768,VAtlas-20260103-429,2026-01-03,16:49:00,17:26:00,3.5153006992631,125.232645985694,CUAtlas-101302-2,Toko Survey 101302 2,Silver,1013,RIAU,Fonda,AREA 13 PEKANBARU,101302,KOTA PEKANBARU,SAP-CUAtlas-101302-2,Salesman A52,SLS-052,SD-1013-01,PT Distributor Riau 01,FondaV-001,Supervisor Y1,PRD-896,Semen Tecton Premium,448,88,52662,2025-12-28,69,64787,773,874,50 Kg,Tecton,SIG
SRV-20260103-6716,VAtlas-20260103-653,2026-01-03,08:26:00,08:55:00,-3.65056000060075,126.326470076199,CUAtlas-101501-0,Toko Survey 101501 0,Super Platinum,1015,JAMBI,Monolith,AREA 19 MUARO JAMBI,101501,KABUPATEN MUARO JAMBI,SAP-CUAtlas-101501-0,Salesman X75,SLS-075,SD-1015-02,PT Distributor Jambi 02,FondaV-001,Supervisor Y1,PRD-124,Semen Kinetiq Standar,174,71,48521,2025-12-28,188,58247,435,857,40 Kg,Kinetiq,SIG
SRV-20260103-6073,VAtlas-20260103-564,2026-01-03,11:57:00,12:21:00,-3.90928270548814,133.810582591711,CUAtlas-101501-2,Toko Survey 101501 2,Silver,1015,JAMBI,Monolith,AREA 19 MUARO JAMBI,101501,KABUPATEN MUARO JAMBI,SAP-CUAtlas-101501-2,Salesman O92,SLS-092,SD-1015-01,PT Distributor Jambi 01,FondaV-017,Supervisor I17,PRD-376,Semen RAJASA Premium,90,96,46830,2025-12-29,63,58635,179,762,50 Kg,RAJASA,INTP
SRV-20260103-1827,VAtlas-20260103-760,2026-01-03,08:29:00,08:47:00,-4.92591710202009,104.673883520652,CUAtlas-103602-0,Toko Survey 103602 0,Super Platinum,1036,SULAWESI TENGAH,Atlas,AREA 81 PALU,103602,KOTA PALU,SAP-CUAtlas-103602-0,Salesman X23,SLS-023,SD-1036-02,PT Distributor Sulawesi Tengah 02,FondaV-019,Supervisor G19,PRD-662,Semen TerraBlock Standar,328,71,48389,2025-12-28,16,56955,967,477,40 Kg,TerraBlock,SIG
SRV-20260103-4303,VAtlas-20260103-826,2026-01-03,14:29:00,15:04:00,2.05950443784377,116.204418526479,CUAtlas-104002-2,Toko Survey 104002 2,Silver,1040,MALUKU UTARA,Atlas,AREA 91 MALUKU UTARA,104002,KOTA TERNATE,SAP-CUAtlas-104002-2,Salesman M64,SLS-064,SD-1040-03,PT Distributor Maluku Utara 03,FondaV-014,Supervisor L14,PRD-365,Semen SANJAYA Premium,127,37,46151,2025-12-30,160,65263,729,1273,50 Kg,SANJAYA,INTP
SRV-20260103-4702,VAtlas-20260103-763,2026-01-03,12:58:00,13:15:00,0.646197309692319,127.26324148338,CUAtlas-102901-4,Toko Survey 102901 4,Platinum,1029,KALIMANTAN BARAT,Primebase,AREA 58 PONTIANAK,102901,KABUPATEN KUBU RAYA,SAP-CUAtlas-102901-4,Salesman L89,SLS-089,SD-1029-03,PT Distributor Kalimantan Barat 03,FondaV-011,Supervisor O11,PRD-867,Semen Fonda Standar,165,91,45315,2025-12-29,156,59180,779,1810,40 Kg,Fonda,SIG
SRV-20260103-4918,VAtlas-20260103-498,2026-01-03,08:08:00,08:34:00,4.17884331891764,105.347255040815,CUAtlas-101402-1,Toko Survey 101402 1,Bronze,1014,KEPULAUAN RIAU,Fonda,AREA 16 BATAM,101402,KOTA BATAM,SAP-CUAtlas-101402-1,Salesman O66,SLS-066,SD-1014-02,PT Distributor Kepulauan Riau 02,FondaV-011,Supervisor O11,PRD-444,Semen Tecton Standar,468,70,46202,2026-01-02,33,66984,165,215,50 Kg,Tecton,SIG
SRV-20260103-6679,VAtlas-20260103-644,2026-01-03,08:06:00,08:50:00,-3.25863941792471,120.625577985368,CUAtlas-101302-0,Toko Survey 101302 0,Platinum,1013,RIAU,Fonda,AREA 13 PEKANBARU,101302,KOTA PEKANBARU,SAP-CUAtlas-101302-0,Salesman A52,SLS-052,SD-1013-02,PT Distributor Riau 02,FondaV-013,Supervisor M13,PRD-494,Semen Omnicore Premium,417,22,47906,2026-01-01,149,69584,476,244,40 Kg,Omnicore,SIG
