soldto,periode,regional,province_desc,target_revenue,total_qty_sellin,avg_price_per_ton,utilisasi_kapasitas,lag_1w_revenue,lag_4w_revenue,rolling_4w_revenue_mean,rolling_4w_revenue_std,total_kapasitas_tonase,jumlah_gudang_distributor,lag_1w_sellout,lag_1w_toko_aktif,lag_1w_sell_through_rate,rolling_4w_str_mean,lag_1w_avg_stock_toko,lag_1w_volume_sales,lag_1w_volume_order,lag_1w_n_toko_surveyed,month,quarter,week_of_year,month_sin,month_cos,week_sin,week_cos
SD-1010-01,2026-04-27,AREA 1,ACEH,113252558,100.27,1129475.8821705512,1.242502943927764,468075945.0,323656244.0,335464236.5,139557094.2248996,80.7,1,358.46000000000004,10.0,0.8531105513563105,0.9034199280122097,357.0,96.0,26.0,1.0,4,2,18,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557
SD-1010-01,2026-05-04,AREA 1,ACEH,242771911,234.01999999999998,1037398.0883087734,1.0467882874043528,113252558.0,145821354.0,282863315.0,179443325.54672444,223.56,2,92.27,5.0,0.9202153265966564,0.9052607081742136,196.0,79.0,330.0,2.0,5,2,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795
SD-1010-01,2026-05-11,AREA 1,ACEH,294821551,253.24,1164198.1494156471,1.0323684862466984,242771911.0,404303403.0,307100954.25,160287959.85570917,245.3,1,206.79999999999998,14.0,0.8836851173538536,0.8877538710062173,290.3333333333333,132.0,290.0,2.0,5,2,20,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012
SD-1010-01,2026-05-18,AREA 1,ACEH,377076810,329.5,1144390.890913782,1.0641733338444812,294821551.0,468075945.0,279730491.25,146949638.7042837,309.63,2,240.21,4.0,0.9485467955873166,0.9013894477235344,344.0,51.0,136.0,1.0,5,2,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564
SD-1010-01,2026-05-25,AREA 1,ACEH,108049851,93.17,1159706.3368352111,1.0944436632863077,377076810.0,113252558.0,256980707.5,110626509.97712184,85.13,1,290.54,16.0,0.8817602160315565,0.9085518638923458,268.0,60.0,81.0,1.0,5,2,22,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096
SD-1010-01,2026-06-01,AREA 1,ACEH,175939719,166.37,1057520.6372831257,1.0085474655342226,108049851.0,242771911.0,255680030.75,112887150.35859485,164.95999999999998,1,82.49,7.0,0.8853707324921398,0.8998407153662167,0.0,0.0,0.0,0.0,6,2,23,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147
SD-1010-01,2026-06-08,AREA 1,ACEH,274853826,247.40999999999997,1110924.4367275198,1.179997082081505,175939719.0,294821551.0,238971982.75,120146838.54750074,209.67,2,149.97,6.0,0.901424481491586,0.9042755564006497,0.0,0.0,0.0,0.0,6,2,24,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052
SD-1010-01,2026-06-15,AREA 1,ACEH,370504476,321.52,1152352.7758039073,1.0557908562115108,274853826.0,377076810.0,233980051.5,117437136.84317082,304.53000000000003,1,225.3,9.0,0.9106341331945301,0.8947973908024531,61.0,9.0,149.0,1.0,6,2,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054
SD-1010-01,2026-06-22,AREA 1,ACEH,188563961,153.48,1228589.7101518302,1.0672414249884272,370504476.0,108049851.0,232336968.0,114783681.51739728,143.81,2,295.51,6.0,0.9191029821129951,0.9041330823228128,193.5,95.0,331.0,2.0,6,2,26,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0
SD-1010-01,2026-06-29,AREA 1,ACEH,312933678,256.44,1220299.741838257,1.0069501312698734,188563961.0,175939719.0,252465495.5,90137004.68442324,254.67000000000002,1,140.19,9.0,0.9134088537002311,0.9111426126248355,215.0,87.0,20.0,1.0,6,2,27,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054
SD-1010-01,2026-07-06,AREA 1,ACEH,176015291,166.0,1060333.0144377702,0.9999999397590398,312933678.0,274853826.0,286713985.25,76337865.80228089,166.0,1,240.93,8.0,0.9395179792732032,0.9206659870702398,254.0,107.0,213.0,2.0,7,3,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521
SD-1010-01,2026-07-13,AREA 1,ACEH,328103776,284.40999999999997,1153629.4942642844,1.068728353046432,176015291.0,370504476.0,262004351.5,95137939.85003075,266.12,1,139.35,8.0,0.8394577807555553,0.9028718989604961,225.0,17.0,68.0,1.0,7,3,29,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148
SD-1010-01,2026-07-20,AREA 1,ACEH,199992046,175.98,1136447.5203746152,1.0184616575923573,328103776.0,188563961.0,251404176.5,80210316.99916042,172.79,1,259.99,7.0,0.9141380080117435,0.9016306554351833,271.5,56.0,201.0,2.0,7,3,30,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101
SD-1010-01,2026-07-27,AREA 1,ACEH,309491560,279.34,1107938.5298224913,1.1902509186479644,199992046.0,312933678.0,254261197.75,77379474.1433157,234.69,2,159.0,6.0,0.9035117113585799,0.8991563698497705,403.0,37.0,33.0,1.0,7,3,31,-0.4999999999999997,-0.8660254037844388,-0.5680647467311556,-0.8229838658936566
SD-1010-01,2026-08-03,AREA 1,ACEH,287414871,251.33999999999997,1143530.1168325727,1.1326212819331583,309491560.0,176015291.0,253400668.25,76523896.02293368,221.91,2,240.38,13.0,0.8605283575381845,0.8794089644160158,244.0,52.0,188.0,1.0,8,3,32,-0.8660254037844385,-0.5000000000000004,-0.663122658240795,-0.7485107481711013
SD-1010-01,2026-08-10,AREA 1,ACEH,209310972,205.93,1016418.0150333601,1.0961885927718198,287414871.0,328103776.0,281250563.25,56667812.022156775,187.86,2,237.43,10.0,0.9446566028226068,0.9057086699327787,226.0,24.0,23.0,1.0,8,3,33,-0.8660254037844385,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952
SD-1010-01,2026-08-17,AREA 1,ACEH,207999576,174.06,1194987.7286574899,1.0630916103895676,209310972.0,199992046.0,251552362.25,55032933.87239498,163.73,2,182.37,15.0,0.8855921485168674,0.8985722050590597,0.0,0.0,0.0,0.0,8,3,34,-0.8660254037844385,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559
SD-1010-01,2026-08-24,AREA 1,ACEH,160666593,124.85,1286876.8933218347,1.0128173105526639,207999576.0,309491560.0,253554244.75,52625153.288686156,123.27,1,159.66,7.0,0.9172698542301588,0.9020117407769543,109.5,171.0,264.0,2.0,8,3,35,-0.8660254037844385,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691
SD-1010-01,2026-08-31,AREA 1,ACEH,109562054,93.33,1173920.9499709685,1.1147872533698933,160666593.0,287414871.0,216348003.0,52504397.23041227,83.72,2,108.19,7.0,0.8665598024381416,0.9035196020019436,0.0,0.0,0.0,0.0,8,3,36,-0.8660254037844385,-0.5000000000000004,-0.9350162426854147,-0.3546048870425359
SD-1010-01,2026-09-07,AREA 1,ACEH,483965666,410.26,1179655.960131235,1.078411243108818,109562054.0,209310972.0,171884798.75,47310915.7009214,380.43,2,82.34,2.0,0.8822456999629594,0.8879168762870319,346.5,92.0,181.0,2.0,9,3,37,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774
SD-1010-01,2026-09-14,AREA 1,ACEH,464208478,415.29999999999995,1117766.5948045608,1.035402616918409,483965666.0,207999576.0,240548472.25,167182452.4869898,401.09999999999997,2,379.94,11.0,0.9260956240897085,0.8980427451802421,229.5,72.0,183.0,2.0,9,3,38,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357
SD-1010-01,2026-09-21,AREA 1,ACEH,79191917,74.76,1059281.7871479685,1.0364618000191599,464208478.0,160666593.0,304600697.75,196980146.56108466,72.13,2,383.53999999999996,11.0,0.9235251402955662,0.8996065666965939,0.0,0.0,0.0,0.0,9,3,39,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
SD-1010-01,2026-09-28,AREA 1,ACEH,55764285,44.5,1253129.718397816,0.9999997752809493,79191917.0,109562054.0,284232028.75,219724141.92904893,44.5,1,68.63,8.0,0.9180041575703373,0.9124676554796428,24.0,89.0,42.0,1.0,9,3,40,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232
SD-1010-01,2026-10-05,AREA 1,ACEH,135308549,109.93,1230860.8813917146,1.2089518080994381,55764285.0,483965666.0,270782586.5,235088958.6993799,90.93,1,38.83,1.0,0.8725840735766126,0.9100522488830561,363.0,13.0,89.0,1.0,10,4,41,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738
SD-1010-01,2026-10-12,AREA 1,ACEH,209096944,188.21,1110976.7434792654,1.0786909056229421,135308549.0,464208478.0,183618307.25,190014208.81067148,174.48000000000002,2,94.02000000000001,5.0,0.8552714586308143,0.8923462075183326,269.0,77.0,184.0,1.0,10,4,42,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.35460488704253557
SD-1010-01,2026-10-19,AREA 1,ACEH,11601913,11.04,1050896.964767242,1.0137731737620075,209096944.0,79191917.0,119840423.75,68225220.07782362,10.89,1,170.13,10.0,0.9039370435185673,0.887449183324083,0.0,0.0,0.0,0.0,10,4,43,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768
SD-1010-01,2026-10-26,AREA 1,ACEH,288981239,233.03,1240103.1051751662,1.096560110274335,11601913.0,55764285.0,102942922.75,87340738.70421802,212.51,2,9.63,7.0,0.8722818185853094,0.8760185985778259,253.0,88.0,87.0,1.0,10,4,44,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548
SD-1010-01,2026-11-02,AREA 1,ACEH,88270220,81.79,1079229.8472637427,1.1853621470489641,288981239.0,135308549.0,161247161.25,117858825.51754484,69.0,2,212.55,12.0,0.9121142809031335,0.885901150409456,215.0,254.0,818.0,4.0,11,4,45,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407952
SD-1010-01,2026-11-09,AREA 1,ACEH,484079469,420.9,1150105.6248489993,1.0147547853137862,88270220.0,209096944.0,149487579.0,123520281.07035334,414.78,2,73.5,13.0,0.8986427560040644,0.8967439747527686,0.0,0.0,0.0,0.0,11,4,46,-0.5000000000000004,0.8660254037844384,-0.6631226582407955,0.7485107481711007
SD-1010-01,2026-11-16,AREA 1,ACEH,292181739,253.28,1153591.7856288776,1.1446131080706297,484079469.0,11601913.0,218233210.25,212341225.94016942,221.28,2,372.52,15.0,0.88505581171167,0.8920236668010443,375.5,153.0,334.0,2.0,11,4,47,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564
SD-1010-01,2026-11-23,AREA 1,ACEH,164182638,131.2,1251391.9625463444,1.1474548585398934,292181739.0,288981239.0,288378166.75,161613758.60658893,114.33999999999999,2,237.5,11.0,0.9376973729588846,0.9083775553944381,456.0,88.0,190.0,2.0,11,4,48,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321
SD-1010-01,2026-11-30,AREA 1,ACEH,142830552,143.06,998396.0716904745,1.0750731889176233,164182638.0,88270220.0,257178516.5,173096807.09101334,133.07,1,119.96000000000001,8.0,0.9143291986029576,0.9089312848193942,140.33333333333334,125.0,153.0,3.0,11,4,49,-0.5000000000000004,0.8660254037844384,-0.35460488704253595,0.9350162426854147
SD-1010-01,2026-12-07,AREA 1,ACEH,247544126,242.72000000000003,1019875.2298996691,1.1224045723743552,142830552.0,484079469.0,270818599.5,156725610.30570197,216.25,1,127.53999999999999,7.0,0.8915139877314421,0.9071490927512387,247.0,43.0,143.0,2.0,12,4,50,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052
SD-1010-01,2026-12-14,AREA 1,ACEH,120011424,108.89,1102134.3831266062,0.9999999081642108,247544126.0,292181739.0,211684763.75,70149866.50464495,108.89,1,225.53,5.0,0.9291776149811463,0.9181795435686076,0.0,0.0,0.0,0.0,12,4,51,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054
SD-1010-01,2026-12-21,AREA 1,ACEH,30946030,30.2,1024702.6408269402,1.0460682209670173,120011424.0,164182638.0,168642185.0,55607538.95704709,28.87,1,95.03,7.0,0.8727155043883272,0.9019340764259682,219.0,74.0,233.0,2.0,12,4,52,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0
SD-1010-01,2026-12-28,AREA 1,ACEH,318407074,266.46,1194952.5709317508,1.0375763779612797,30946030.0,142830552.0,135333033.0,89029845.70932928,256.81,2,27.12,4.0,0.8980129476778319,0.8978550136946868,258.0,32.0,188.0,1.0,12,4,53,-2.4492935982947064e-16,1.0,0.12053668025532314,0.992708874098054
SD-1010-02,2025-12-29,AREA 1,ACEH,143934509,129.59,1110691.3951160277,1.1305067494977974,,,,0.0,114.63,2,,,,,0.0,0.0,0.0,0.0,12,4,1,-2.4492935982947064e-16,1.0,0.12053668025532305,0.992708874098054
SD-1010-02,2026-01-05,AREA 1,ACEH,276191415,240.67000000000002,1147593.8152825937,1.101010974838237,143934509.0,,,0.0,218.59,2,116.51,9.0,0.8990662166011099,,0.0,0.0,0.0,0.0,1,1,2,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052
SD-1010-02,2026-01-12,AREA 1,ACEH,60720642,62.25,975431.8433041215,0.9999998393574555,276191415.0,,210062962.0,93519755.09135178,62.25,1,218.51,12.0,0.9079236752431263,0.9034949459221181,84.0,86.0,182.0,1.0,1,1,3,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148
SD-1010-02,2026-01-19,AREA 1,ACEH,347666475,303.07,1147149.053118123,1.141549544557251,60720642.0,,160282188.66666666,108661623.75543328,265.49,1,57.93,8.0,0.9306022601442152,0.9125307173294838,0.0,0.0,0.0,0.0,1,1,4,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099
SD-1010-02,2026-01-26,AREA 1,ACEH,86626028,68.31,1268130.805426613,1.0256755216703421,347666475.0,143934509.0,207128260.25,129034039.4725673,66.6,1,274.19,5.0,0.9047084533372339,0.9105751513314213,144.5,141.0,214.0,2.0,1,1,5,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
SD-1010-02,2026-02-02,AREA 1,ACEH,14288856,13.54,1055306.1629939713,1.0728993083206748,86626028.0,276191415.0,192801140.0,141014919.19814536,12.62,1,59.01,4.0,0.8638558243513651,0.9017725532689851,165.0,153.0,316.0,2.0,2,1,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011
SD-1010-02,2026-02-09,AREA 1,ACEH,221771729,197.2,1124603.0312067429,1.019174064852237,14288856.0,60720642.0,127325500.25,149911176.23558772,193.49,2,12.04,5.0,0.8892164776835468,0.8970957538790902,144.5,119.0,216.0,2.0,2,1,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953
SD-1010-02,2026-02-16,AREA 1,ACEH,200358332,169.79000000000002,1180036.045701393,1.009212969019676,221771729.0,347666475.0,167588272.0,147670355.98209575,168.24,2,173.17000000000002,9.0,0.8781439716965532,0.8839811817671748,239.5,104.0,247.0,2.0,2,1,8,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559
SD-1010-02,2026-03-02,AREA 1,ACEH,253642632,243.88,1040030.4313584373,1.0053175726403571,200358332.0,86626028.0,130761236.25,97707723.16080227,242.59,2,151.59,4.0,0.8928087111838912,0.881006246228839,321.6666666666667,146.0,199.0,3.0,3,1,10,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557
SD-1010-02,2026-03-09,AREA 1,ACEH,487949429,441.69,1104732.771746411,1.0493193393362474,253642632.0,14288856.0,172515387.25,107732201.63454376,420.93,2,217.43,14.0,0.8915449855853295,0.8879285365373302,0.0,0.0,0.0,0.0,3,1,11,1.0,6.123233995736766e-17,0.970941817426052,0.23931566428755804
SD-1010-02,2026-03-16,AREA 1,ACEH,493879692,431.15,1145493.866508318,1.0383151662095373,487949429.0,221771729.0,290930530.5,133157922.1660499,415.24,2,398.73,9.0,0.9027371934447873,0.8913087154776402,0.0,0.0,0.0,0.0,3,1,12,1.0,6.123233995736766e-17,0.992708874098054,0.120536680255323
SD-1010-02,2026-03-23,AREA 1,ACEH,341192129,297.7,1146093.77742379,1.1384320788362494,493879692.0,200358332.0,358957521.25,153934870.5929164,261.5,2,395.12,13.0,0.9164327747551254,0.9008809162422833,0.0,0.0,0.0,0.0,3,1,13,1.0,6.123233995736766e-17,1.0,-1.6081226496766366e-16
SD-1010-02,2026-03-30,AREA 1,ACEH,204323825,181.16,1127863.8425776197,1.0659605139181811,341192129.0,253642632.0,394165970.5,117318938.35474515,169.95,2,268.09,8.0,0.9005374235627336,0.902813094336994,0.0,0.0,0.0,0.0,3,1,14,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288
SD-1010-02,2026-04-06,AREA 1,ACEH,87927313,78.9,1114414.4721908146,1.0292197979102795,204323825.0,487949429.0,381836268.75,137811882.95878223,76.66,1,162.68,11.0,0.8979906768607487,0.9044245171558487,102.5,69.0,171.0,2.0,4,2,15,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575
SD-1010-02,2026-04-13,AREA 1,ACEH,190921675,166.32,1147917.6498366012,1.0183687840822444,87927313.0,493879692.0,281830739.75,175208821.52778837,163.32,2,71.12,8.0,0.901394055590107,0.9040887326921787,253.0,83.0,102.0,2.0,4,2,16,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545
SD-1010-02,2026-04-20,AREA 1,ACEH,55399288,47.87,1157285.9082335683,1.1168919465954392,190921675.0,341192129.0,206091235.5,104000325.81795602,42.86,1,150.35000000000002,8.0,0.9039802246284138,0.9009755951605009,281.0,23.0,12.0,1.0,4,2,17,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685
SD-1010-02,2026-04-27,AREA 1,ACEH,327765357,293.76,1115758.9387336965,1.088524063863191,55399288.0,204323825.0,134643025.25,74127430.67595294,269.87,2,43.41,7.0,0.9068308111905553,0.9025489420674562,161.0,14.0,119.0,1.0,4,2,18,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557
SD-1010-02,2026-05-04,AREA 1,ACEH,136902426,106.47,1285830.8738770664,1.0094812733970537,327765357.0,87927313.0,165503408.25,122632236.30974215,105.47,1,265.65,11.0,0.9043096097389158,0.9041286752869979,297.0,40.0,174.0,1.0,5,2,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795
SD-1010-02,2026-05-11,AREA 1,ACEH,498051099,443.31,1123482.636902334,1.0741700733179047,136902426.0,190921675.0,177747186.5,114478995.67907989,412.7,2,96.85,4.0,0.9096458242090895,0.9061916174417436,324.5,155.0,218.0,2.0,5,2,20,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012
SD-1010-02,2026-05-18,AREA 1,ACEH,161585069,130.13,1241720.2534603663,1.0616789539300844,498051099.0,55399288.0,254529542.5,198456737.350151,122.57000000000001,2,403.28000000000003,4.0,0.9097019938710611,0.9076220597524054,334.0,8.0,33.0,1.0,5,2,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564
SD-1010-02,2026-05-25,AREA 1,ACEH,388283407,350.23,1108652.5880520632,1.0976587865465641,161585069.0,327765357.0,281075987.75,167652608.76219898,319.07,2,118.34,12.0,0.9093982241298529,0.9082639129872299,274.0,7.0,45.0,1.0,5,2,22,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096
SD-1010-02,2026-06-01,AREA 1,ACEH,185193176,155.13,1193793.360807493,1.013987776064594,388283407.0,136902426.0,296205500.25,175803030.52151358,152.99,1,319.62,9.0,0.912600265180017,0.9103365768475051,182.66666666666666,88.0,260.0,3.0,6,2,23,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147
SD-1010-02,2026-06-15,AREA 1,ACEH,796722916,736.46,1081827.8048797245,1.1322663294702533,185193176.0,498051099.0,308278187.75,162361103.8781972,650.43,2,138.39,8.0,0.8920904472319701,0.9059477326032253,238.0,134.0,134.0,2.0,6,2,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054
SD-1010-02,2026-06-22,AREA 1,ACEH,13230903,12.98,1019329.1838758213,1.0639335541528245,796722916.0,161585069.0,382946142.0,294021918.2878695,12.2,1,660.13,16.0,0.8963555264867674,0.9026111157571519,247.0,76.0,314.0,2.0,6,2,26,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0
SD-1010-02,2026-06-29,AREA 1,ACEH,262116821,260.86,1004817.951973551,1.0967877103604227,13230903.0,388283407.0,345857600.5,337408288.2640174,237.84,2,11.7,7.0,0.9013860544021152,0.9006080733252174,0.0,0.0,0.0,0.0,6,2,27,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054
SD-1010-02,2026-07-06,AREA 1,ACEH,25895662,21.45,1207256.40687347,1.183121244831084,262116821.0,185193176.0,314315954.0,338016827.0989533,18.13,1,236.94,12.0,0.908303269634928,0.8995338244389451,40.0,33.0,73.0,1.0,7,3,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521
SD-1010-02,2026-07-13,AREA 1,ACEH,559811802,492.03,1137759.4671512009,1.0205550273675634,25895662.0,796722916.0,274491575.5,366485913.669004,482.12,2,20.7,3.0,0.9650345151354242,0.9177698414148088,0.0,0.0,0.0,0.0,7,3,29,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148
SD-1010-02,2026-07-20,AREA 1,ACEH,357973089,332.94,1075187.9565330704,1.0242731572289445,559811802.0,13230903.0,215263797.0,256636003.20221254,325.05,2,441.52,9.0,0.8973436396694584,0.9180168697104814,0.0,0.0,0.0,0.0,7,3,30,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101
