regional,opco_area,province_code,province_desc,district_code,district_desc,brand,material_code,material_desc,delivery_type,baseunit_of_measure,shipto,shipto_desc,soldto,soldto_desc,plant,plant_name,area_name,segment,segment_material,quantity,revenue,incoterm,date
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Primebase,MAT002,Primebase Semen PCC Premium,ZLF,ZAK,WH-1026-01,Gudang Bali 01,SD-1026-02,PT Distributor Bali 02,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,78.68,74973935,Delivery,2026-01-01
AREA 3,SBI,1022,JAWA BARAT,102202,KOTA BOGOR,Kinetiq,MAT001,Kinetiq Semen Portland Tipe I,ZLF,BAG,WH-1022-01,Gudang Jawa Barat 01,SD-1022-01,PT Distributor Jawa Barat 01,PL-003,Pabrik Narogong,AREA 35 BOGOR,MB,Retail Bag,140.12,154615694,Pickup,2026-01-01
AREA 1,SP,1011,SUMATERA UTARA,101102,KOTA MEDAN,Fonda,MAT003,Fonda Semen Tecton Khusus,ZLC,ZAK,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-03,PT Distributor Sumatera Utara 03,PL-001,Pabrik Indarung,AREA 05 MEDAN,FB,Retail Bag,72.5,80695472,Delivery,2026-01-01
AREA 1,SP,1011,SUMATERA UTARA,101101,KABUPATEN DELI SERDANG,Fonda,MAT004,Fonda Semen Portland Komposit,ZLC,ZAK,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-03,PT Distributor Sumatera Utara 03,PL-001,Pabrik Indarung,AREA 06 BINJAI,FB,Retail Bag,84.0,85490580,Pickup,2026-01-01
AREA 4,SG,1029,KALIMANTAN BARAT,102902,KOTA PONTIANAK,Primebase,MAT001,Primebase Semen Portland Tipe I,ZLC,ZAK,WH-1029-01,Gudang Kalimantan Barat 01,SD-1029-03,PT Distributor Kalimantan Barat 03,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,76.5,80671621,Pickup,2026-01-01
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Vanguard,MAT003,Vanguard Semen Tecton Khusus,ZLFP,BAG,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-01,PT Distributor Kalimantan Tengah 01,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,MB,Retail Bag,41.77,46146994,Delivery,2026-01-01
AREA 1,SP,1012,SUMATERA BARAT,101203,KOTA BUKIT TINGGI,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLC,BAG,WH-1012-01,Gudang Sumatera Barat 01,SD-1012-03,PT Distributor Sumatera Barat 03,PL-001,Pabrik Indarung,AREA 12 BUKITTINGGI,MB,Retail Bag,103.52,125720899,Pickup,2026-01-01
AREA 3,SBI,1020,BANTEN,102001,KABUPATEN TANGERANG,Omnicore,MAT002,Omnicore Semen PCC Premium,ZLF,ZAK,WH-1020-02,Gudang Banten 02,SD-1020-02,PT Distributor Banten 02,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,139.71,133672432,Delivery,2026-01-01
AREA 5,ST,1036,SULAWESI TENGAH,103602,KOTA PALU,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,BAG,WH-1036-02,Gudang Sulawesi Tengah 02,SD-1036-02,PT Distributor Sulawesi Tengah 02,PL-005,Pabrik Pangkep,AREA 81 PALU,MB,Retail Bag,77.56,79529946,Delivery,2026-01-01
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZSLF,BAG,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-02,PT Distributor Kepulauan Riau 02,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,FB,Retail Bag,128.02,142506871,Pickup,2026-01-01
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,Fonda,MAT002,Fonda Semen PCC Premium,ZLF,BAG,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-02,PT Distributor Kepulauan Riau 02,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,MB,Retail Bag,15.03,16468701,Delivery,2026-01-01
AREA 1,SP,1013,RIAU,101302,KOTA PEKANBARU,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZSLF,ZAK,WH-1013-02,Gudang Riau 02,SD-1013-02,PT Distributor Riau 02,PL-001,Pabrik Indarung,AREA 13 PEKANBARU,FB,Retail Bag,117.72,148875422,Pickup,2026-01-01
AREA 5,ST,1033,SULAWESI SELATAN,103301,KABUPATEN MAROS,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,BAG,WH-1033-02,Gudang Sulawesi Selatan 02,SD-1033-01,PT Distributor Sulawesi Selatan 01,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,FB,Retail Bag,78.32,95731867,Pickup,2026-01-01
AREA 4,SG,1029,KALIMANTAN BARAT,102902,KOTA PONTIANAK,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZLC,BAG,WH-1029-01,Gudang Kalimantan Barat 01,SD-1029-03,PT Distributor Kalimantan Barat 03,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,MB,Retail Bag,125.12,129677245,Pickup,2026-01-01
AREA 2,SMBR,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Monolith,MAT001,Monolith Semen Portland Tipe I,ZLC,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-01,PT Distributor Jambi 01,PL-002,Pabrik Baturaja,AREA 19 MUARO JAMBI,MB,Retail Bag,28.64,31863861,Delivery,2026-01-01
AREA 1,SP,1010,ACEH,101002,KOTA BANDA ACEH,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLC,ZAK,WH-1010-02,Gudang Aceh 02,SD-1010-03,PT Distributor Aceh 03,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,100.53,96299999,Delivery,2026-01-01
AREA 3,SBI,1022,JAWA BARAT,102201,KABUPATEN BOGOR,Omnicore,MAT004,Omnicore Semen Portland Komposit,ZLFP,ZAK,WH-1022-01,Gudang Jawa Barat 01,SD-1022-02,PT Distributor Jawa Barat 02,PL-003,Pabrik Narogong,AREA 35 BOGOR,FB,Retail Bag,140.94,153128632,Pickup,2026-01-01
AREA 1,SP,1015,JAMBI,101502,KOTA JAMBI,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZSLF,BAG,WH-1015-02,Gudang Jambi 02,SD-1015-01,PT Distributor Jambi 01,PL-001,Pabrik Indarung,AREA 18 JAMBI,MB,Retail Bag,65.58,70818005,Delivery,2026-01-02
AREA 5,ST,1037,SULAWESI UTARA,103702,KOTA MANADO,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLFP,ZAK,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-01,PT Distributor Sulawesi Utara 01,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,MB,Retail Bag,125.9,131449797,Pickup,2026-01-02
AREA 1,SP,1013,RIAU,101301,KABUPATEN KAMPAR,TerraBlock,MAT003,TerraBlock Semen Tecton Khusus,ZSLF,ZAK,WH-1013-02,Gudang Riau 02,SD-1013-03,PT Distributor Riau 03,PL-001,Pabrik Indarung,AREA 15 KAMPAR,MB,Retail Bag,114.38,132808562,Delivery,2026-01-02
AREA 1,SP,1010,ACEH,101001,KABUPATEN ACEH BESAR,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZLC,BAG,WH-1010-02,Gudang Aceh 02,SD-1010-01,PT Distributor Aceh 01,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,FB,Retail Bag,16.72,21493710,Pickup,2026-01-02
AREA 5,ST,1030,KALIMANTAN SELATAN,103002,KOTA BANJARMASIN,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,ZAK,WH-1030-02,Gudang Kalimantan Selatan 02,SD-1030-01,PT Distributor Kalimantan Selatan 01,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,MB,Retail Bag,98.49,121360855,Delivery,2026-01-02
AREA 3,SBI,1017,KEPULAUAN BANGKA BELITUNG,101701,KABUPATEN BANGKA,Kinetiq,MAT001,Kinetiq Semen Portland Tipe I,ZLF,ZAK,WH-1017-02,Gudang Kepulauan Bangka Belitung 02,SD-1017-02,PT Distributor Kepulauan Bangka Belitung 02,PL-003,Pabrik Narogong,AREA 28 BANGKA BLTNG,FB,Retail Bag,13.56,14458390,Delivery,2026-01-02
AREA 1,SP,1010,ACEH,101001,KABUPATEN ACEH BESAR,Fonda,MAT002,Fonda Semen PCC Premium,ZLC,BAG,WH-1010-02,Gudang Aceh 02,SD-1010-01,PT Distributor Aceh 01,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,FB,Retail Bag,15.46,19918973,Delivery,2026-01-02
AREA 2,SMBR,1019,LAMPUNG,101902,KOTA BANDAR LAMPUNG,Monolith,MAT003,Monolith Semen Tecton Khusus,ZLFP,ZAK,WH-1019-01,Gudang Lampung 01,SD-1019-02,PT Distributor Lampung 02,PL-002,Pabrik Baturaja,AREA 29 BANDAR LMPNG,MB,Retail Bag,115.85,113543542,Delivery,2026-01-02
AREA 5,ST,1041,PAPUA,104101,KABUPATEN JAYAPURA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,ZAK,WH-1041-02,Gudang Papua 02,SD-1041-01,PT Distributor Papua 01,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,FB,Retail Bag,120.27,135028331,Pickup,2026-01-02
AREA 1,SP,1013,RIAU,101301,KABUPATEN KAMPAR,Fonda,MAT003,Fonda Semen Tecton Khusus,ZSLF,BAG,WH-1013-02,Gudang Riau 02,SD-1013-02,PT Distributor Riau 02,PL-001,Pabrik Indarung,AREA 15 KAMPAR,MB,Retail Bag,138.13,152444826,Delivery,2026-01-02
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT001,Monolith Semen Portland Tipe I,ZLF,BAG,WH-1015-01,Gudang Jambi 01,SD-1015-02,PT Distributor Jambi 02,PL-002,Pabrik Baturaja,AREA 18 JAMBI,MB,Retail Bag,135.17,142466882,Pickup,2026-01-02
AREA 2,SMBR,1016,SUMATERA SELATAN,101602,KOTA PALEMBANG,Monolith,MAT002,Monolith Semen PCC Premium,ZLC,ZAK,WH-1016-02,Gudang Sumatera Selatan 02,SD-1016-03,PT Distributor Sumatera Selatan 03,PL-002,Pabrik Baturaja,AREA 25 PALEMBANG,MB,Retail Bag,72.9,70053327,Delivery,2026-01-02
AREA 3,SBI,1023,JAWA TENGAH,102302,KOTA SEMARANG,Omnicore,MAT001,Omnicore Semen Portland Tipe I,ZLFP,ZAK,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-01,PT Distributor Jawa Tengah 01,PL-003,Pabrik Narogong,AREA 43 SEMARANG,MB,Retail Bag,76.93,81548030,Pickup,2026-01-02
AREA 1,SP,1018,BENGKULU,101801,KABUPATEN REJANG LEBONG,Fonda,MAT003,Fonda Semen Tecton Khusus,ZLC,ZAK,WH-1018-02,Gudang Bengkulu 02,SD-1018-03,PT Distributor Bengkulu 03,PL-001,Pabrik Indarung,AREA 23 LEBONG,MB,Retail Bag,15.18,19667132,Pickup,2026-01-02
AREA 1,SP,1014,KEPULAUAN RIAU,101402,KOTA BATAM,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZLC,ZAK,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-01,PT Distributor Kepulauan Riau 01,PL-001,Pabrik Indarung,AREA 16 BATAM,MB,Retail Bag,71.9,80193233,Delivery,2026-01-02
AREA 3,SBI,1020,BANTEN,102002,KOTA SERANG,Omnicore,MAT001,Omnicore Semen Portland Tipe I,ZSLF,BAG,WH-1020-02,Gudang Banten 02,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,145.5,173902182,Pickup,2026-01-02
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102801,KABUPATEN KUPANG,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLFP,ZAK,WH-1028-01,Gudang Nusa Tenggara Timur 01,SD-1028-01,PT Distributor Nusa Tenggara Timur 01,PL-005,Pabrik Pangkep,AREA 90 KUPANG,MB,Retail Bag,36.48,44564113,Pickup,2026-01-02
AREA 3,SBI,1023,JAWA TENGAH,102301,KABUPATEN BANYUMAS,Kinetiq,MAT004,Kinetiq Semen Portland Komposit,ZLF,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-02,PT Distributor Jawa Tengah 02,PL-003,Pabrik Narogong,AREA 42 PURWOKERTO,FB,Retail Bag,108.34,117640772,Delivery,2026-01-02
AREA 1,SP,1014,KEPULAUAN RIAU,101402,KOTA BATAM,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLF,BAG,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-01,PT Distributor Kepulauan Riau 01,PL-001,Pabrik Indarung,AREA 16 BATAM,FB,Retail Bag,19.51,22353231,Delivery,2026-01-02
AREA 1,SP,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZSLF,ZAK,WH-1015-02,Gudang Jambi 02,SD-1015-02,PT Distributor Jambi 02,PL-001,Pabrik Indarung,AREA 19 MUARO JAMBI,MB,Retail Bag,73.26,84613028,Pickup,2026-01-02
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT002,Monolith Semen PCC Premium,ZLF,BAG,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-02,PT Distributor Sumatera Selatan 02,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,FB,Retail Bag,53.41,67397384,Delivery,2026-01-02
AREA 5,ST,1035,SULAWESI TENGGARA,103501,KABUPATEN KONAWE,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,ZAK,WH-1035-01,Gudang Sulawesi Tenggara 01,SD-1035-02,PT Distributor Sulawesi Tenggara 02,PL-005,Pabrik Pangkep,AREA 79 KENDARI,FB,Retail Bag,12.16,12898926,Pickup,2026-01-02
AREA 5,ST,1041,PAPUA,104101,KABUPATEN JAYAPURA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLFP,ZAK,WH-1041-01,Gudang Papua 01,SD-1041-02,PT Distributor Papua 02,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,MB,Retail Bag,55.52,57250114,Pickup,2026-01-02
AREA 4,SG,1023,JAWA TENGAH,102302,KOTA SEMARANG,Primebase,MAT001,Primebase Semen Portland Tipe I,ZSLF,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-02,PT Distributor Jawa Tengah 02,PL-004,Pabrik Tuban,AREA 43 SEMARANG,MB,Retail Bag,21.31,23956084,Delivery,2026-01-02
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Primebase,MAT002,Primebase Semen PCC Premium,ZLF,BAG,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-01,PT Distributor Kalimantan Tengah 01,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,MB,Retail Bag,74.14,81435894,Delivery,2026-01-02
AREA 5,ST,1035,SULAWESI TENGGARA,103502,KOTA KENDARI,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,ZAK,WH-1035-01,Gudang Sulawesi Tenggara 01,SD-1035-01,PT Distributor Sulawesi Tenggara 01,PL-005,Pabrik Pangkep,AREA 79 KENDARI,FB,Retail Bag,143.97,151645616,Pickup,2026-01-02
AREA 5,ST,1043,KALIMANTAN UTARA,104301,KABUPATEN BULUNGAN,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,BAG,WH-1043-02,Gudang Kalimantan Utara 02,SD-1043-02,PT Distributor Kalimantan Utara 02,PL-005,Pabrik Pangkep,AREA 70 TARAKAN,MB,Retail Bag,111.46,130597347,Pickup,2026-01-02
AREA 5,ST,1030,KALIMANTAN SELATAN,103001,KABUPATEN BANJAR,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1030-01,Gudang Kalimantan Selatan 01,SD-1030-02,PT Distributor Kalimantan Selatan 02,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,FB,Retail Bag,61.38,67849758,Pickup,2026-01-02
AREA 2,SMBR,1015,JAMBI,101502,KOTA JAMBI,Monolith,MAT003,Monolith Semen Tecton Khusus,ZLC,ZAK,WH-1015-01,Gudang Jambi 01,SD-1015-01,PT Distributor Jambi 01,PL-002,Pabrik Baturaja,AREA 18 JAMBI,MB,Retail Bag,16.66,19264041,Pickup,2026-01-02
AREA 4,SG,1029,KALIMANTAN BARAT,102901,KABUPATEN KUBU RAYA,Vanguard,MAT003,Vanguard Semen Tecton Khusus,ZSLF,BAG,WH-1029-02,Gudang Kalimantan Barat 02,SD-1029-03,PT Distributor Kalimantan Barat 03,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,23.13,28050953,Pickup,2026-01-02
AREA 5,ST,1036,SULAWESI TENGAH,103601,KABUPATEN POSO,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,ZAK,WH-1036-01,Gudang Sulawesi Tengah 01,SD-1036-01,PT Distributor Sulawesi Tengah 01,PL-005,Pabrik Pangkep,AREA 81 PALU,MB,Retail Bag,132.46,127645079,Pickup,2026-01-02
AREA 5,ST,1033,SULAWESI SELATAN,103302,KOTA MAKASSAR,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,ZAK,WH-1033-01,Gudang Sulawesi Selatan 01,SD-1033-02,PT Distributor Sulawesi Selatan 02,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,FB,Retail Bag,49.94,64005351,Pickup,2026-01-02
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT002,Monolith Semen PCC Premium,ZLF,ZAK,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-01,PT Distributor Sumatera Selatan 01,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,FB,Retail Bag,110.19,137055203,Delivery,2026-01-02
AREA 4,SG,1029,KALIMANTAN BARAT,102901,KABUPATEN KUBU RAYA,Primebase,MAT002,Primebase Semen PCC Premium,ZLC,BAG,WH-1029-01,Gudang Kalimantan Barat 01,SD-1029-02,PT Distributor Kalimantan Barat 02,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,FB,Retail Bag,125.37,120674517,Pickup,2026-01-02
AREA 5,ST,1042,PAPUA BARAT,104201,KABUPATEN MANOKWARI,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLF,BAG,WH-1042-02,Gudang Papua Barat 02,SD-1042-02,PT Distributor Papua Barat 02,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,28.93,30630621,Pickup,2026-01-02
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102801,KABUPATEN KUPANG,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,BAG,WH-1028-02,Gudang Nusa Tenggara Timur 02,SD-1028-02,PT Distributor Nusa Tenggara Timur 02,PL-005,Pabrik Pangkep,AREA 90 KUPANG,MB,Retail Bag,141.0,142202307,Delivery,2026-01-02
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZSLF,ZAK,WH-1037-01,Gudang Sulawesi Utara 01,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,MB,Retail Bag,129.07,127237593,Pickup,2026-01-02
AREA 5,ST,1027,NUSA TENGGARA BARAT,102701,KABUPATEN LOMBOK BARAT,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,BAG,WH-1027-01,Gudang Nusa Tenggara Barat 01,SD-1027-02,PT Distributor Nusa Tenggara Barat 02,PL-005,Pabrik Pangkep,AREA 86 LOMBOK,FB,Retail Bag,83.44,89941811,Pickup,2026-01-03
AREA 4,SG,1029,KALIMANTAN BARAT,102902,KOTA PONTIANAK,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZLFP,ZAK,WH-1029-01,Gudang Kalimantan Barat 01,SD-1029-02,PT Distributor Kalimantan Barat 02,PL-004,Pabrik Tuban,AREA 58 PONTIANAK,MB,Retail Bag,65.94,74782949,Pickup,2026-01-03
