year_month,province_desc,district_desc,brand,material_desc,soldto_desc,segment,total_revenue,total_quantity,avg_price_per_ton,n_transactions,year,month
2026-01,BANTEN,KABUPATEN TANGERANG,Omnicore,Omnicore Semen Portland Tipe I,PT Distributor Banten 03,MB,62093476,48.78,62093476.0,1,2026,1
2026-01,BANTEN,KABUPATEN TANGERANG,Tecton,Tecton Semen Portland Komposit,PT Distributor Banten 02,MB,158354689,146.93,158354689.0,1,2026,1
2026-01,BANTEN,KABUPATEN TANGERANG,Tecton,Tecton Semen Tecton Khusus,PT Distributor Banten 01,FB,157490426,122.87,78745213.0,2,2026,1
2026-01,BANTEN,KABUPATEN TANGERANG,Tecton,Tecton Semen Tecton Khusus,PT Distributor Banten 01,MB,84387800,86.18,84387800.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Kinetiq,Kinetiq Semen PCC Premium,PT Distributor Banten 02,MB,67236784,54.71,67236784.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Kinetiq,Kinetiq Semen Portland Komposit,PT Distributor Banten 01,MB,113673168,92.21,113673168.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Kinetiq,Kinetiq Semen Portland Komposit,PT Distributor Banten 02,FB,58500102,47.59,58500102.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Banten 03,FB,136023268,137.14,136023268.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Omnicore,Omnicore Semen Portland Komposit,PT Distributor Banten 03,FB,85571369,76.44,85571369.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Omnicore,Omnicore Semen Portland Tipe I,PT Distributor Banten 01,FB,13407344,10.51,13407344.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Omnicore,Omnicore Semen Tecton Khusus,PT Distributor Banten 02,FB,34701972,26.75,34701972.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Tecton,Tecton Semen Portland Komposit,PT Distributor Banten 02,FB,144300176,143.73,144300176.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Tecton,Tecton Semen Portland Komposit,PT Distributor Banten 03,MB,151339789,129.04,151339789.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Tecton,Tecton Semen Portland Tipe I,PT Distributor Banten 02,MB,27625581,26.18,27625581.0,1,2026,1
2026-01,BANTEN,KOTA CILEGON,Tecton,Tecton Semen Tecton Khusus,PT Distributor Banten 03,FB,96821866,75.51,96821866.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Kinetiq,Kinetiq Semen Portland Komposit,PT Distributor Banten 02,FB,41230444,36.04,41230444.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Kinetiq,Kinetiq Semen Portland Tipe I,PT Distributor Banten 01,MB,155969335,126.17,155969335.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Kinetiq,Kinetiq Semen Portland Tipe I,PT Distributor Banten 02,FB,165200196,132.32,165200196.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Omnicore,Omnicore Semen Portland Komposit,PT Distributor Banten 03,MB,93755070,81.66,93755070.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Omnicore,Omnicore Semen Portland Tipe I,PT Distributor Banten 01,FB,173902182,145.5,173902182.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Omnicore,Omnicore Semen Portland Tipe I,PT Distributor Banten 03,FB,85084849,72.1,85084849.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Tecton,Tecton Semen PCC Premium,PT Distributor Banten 01,MB,47722760,47.02,47722760.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Tecton,Tecton Semen PCC Premium,PT Distributor Banten 02,FB,171808136,139.52,171808136.0,1,2026,1
2026-01,BANTEN,KOTA SERANG,Tecton,Tecton Semen Portland Komposit,PT Distributor Banten 01,MB,24628477,23.33,24628477.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 01,FB,48159105,40.57,48159105.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 01,MB,31490333,28.93,31490333.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 02,MB,61268202,54.82,61268202.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 03,FB,67919329,63.91,67919329.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 03,MB,140697759,120.05,140697759.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Portland Komposit,PT Distributor Bengkulu 03,FB,130340059,110.24,130340059.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Portland Tipe I,PT Distributor Bengkulu 01,MB,67992923,55.75,67992923.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Portland Tipe I,PT Distributor Bengkulu 02,FB,283591263,252.16,94530421.0,3,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Portland Tipe I,PT Distributor Bengkulu 03,MB,149655149,118.9,149655149.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 01,FB,113649097,101.03,56824548.5,2,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 03,FB,30228714,24.87,30228714.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 03,MB,38095727,29.759999999999998,19047863.5,2,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Bengkulu 01,FB,13192023,10.83,13192023.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 01,FB,86637856,83.6,86637856.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 01,MB,63467077,64.33,63467077.0,1,2026,1
2026-01,BENGKULU,KABUPATEN REJANG LEBONG,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 03,FB,223938149,197.60000000000002,111969074.5,2,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 01,FB,181828442,146.81,181828442.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 01,MB,85635754,68.69,85635754.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen PCC Premium,PT Distributor Bengkulu 03,MB,90947324,81.4,90947324.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Portland Komposit,PT Distributor Bengkulu 01,MB,138816163,140.26,138816163.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Portland Komposit,PT Distributor Bengkulu 02,FB,25574264,24.06,25574264.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Portland Komposit,PT Distributor Bengkulu 02,MB,34419945,29.97,34419945.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Portland Tipe I,PT Distributor Bengkulu 01,FB,22409930,19.23,22409930.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Portland Tipe I,PT Distributor Bengkulu 03,FB,53480253,54.17,53480253.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Portland Tipe I,PT Distributor Bengkulu 03,MB,144205152,114.24,144205152.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 01,FB,191865906,176.32999999999998,95932953.0,2,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 01,MB,140347228,132.93,140347228.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 02,FB,77566157,66.08,77566157.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,Fonda,Fonda Semen Tecton Khusus,PT Distributor Bengkulu 03,FB,178791792,170.77,89395896.0,2,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Portland Komposit,PT Distributor Bengkulu 02,FB,12802862,12.02,12802862.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Bengkulu 01,MB,159355353,134.7,159355353.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Bengkulu 02,FB,89304063,82.6,89304063.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Bengkulu 02,MB,47153596,43.77,47153596.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Portland Tipe I,PT Distributor Bengkulu 03,FB,144786210,112.58,144786210.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 01,FB,112328054,109.13,112328054.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 02,FB,142432549,128.65,71216274.5,2,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 02,MB,95486678,79.38,95486678.0,1,2026,1
2026-01,BENGKULU,KOTA BENGKULU,TerraBlock,TerraBlock Semen Tecton Khusus,PT Distributor Bengkulu 03,FB,101081207,89.83,101081207.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Kinetiq,Kinetiq Semen PCC Premium,PT Distributor Di Yogyakarta 01,FB,89339893,70.31,89339893.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Kinetiq,Kinetiq Semen Portland Komposit,PT Distributor Di Yogyakarta 01,MB,14169562,11.0,14169562.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Kinetiq,Kinetiq Semen Portland Komposit,PT Distributor Di Yogyakarta 02,FB,27976208,24.14,27976208.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Di Yogyakarta 03,FB,16561529,17.35,16561529.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Omnicore,Omnicore Semen Portland Tipe I,PT Distributor Di Yogyakarta 01,MB,184778076,148.55,184778076.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Omnicore,Omnicore Semen Tecton Khusus,PT Distributor Di Yogyakarta 01,MB,122799937,119.06,61399968.5,2,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Tecton,Tecton Semen Portland Komposit,PT Distributor Di Yogyakarta 01,FB,75985511,78.19,75985511.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Tecton,Tecton Semen Portland Komposit,PT Distributor Di Yogyakarta 01,MB,167650301,141.94,167650301.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Tecton,Tecton Semen Tecton Khusus,PT Distributor Di Yogyakarta 02,FB,76189379,65.01,76189379.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN BANTUL,Tecton,Tecton Semen Tecton Khusus,PT Distributor Di Yogyakarta 03,MB,74380145,57.65,74380145.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Kinetiq,Kinetiq Semen PCC Premium,PT Distributor Di Yogyakarta 03,FB,12518816,10.58,12518816.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Di Yogyakarta 02,MB,128838648,107.01,128838648.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Omnicore,Omnicore Semen PCC Premium,PT Distributor Di Yogyakarta 02,FB,51714523,48.97,51714523.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Omnicore,Omnicore Semen Portland Komposit,PT Distributor Di Yogyakarta 02,MB,49653217,46.26,49653217.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Omnicore,Omnicore Semen Portland Komposit,PT Distributor Di Yogyakarta 03,MB,32972398,34.42,32972398.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Tecton,Tecton Semen PCC Premium,PT Distributor Di Yogyakarta 03,MB,61160447,47.56,61160447.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Tecton,Tecton Semen Portland Komposit,PT Distributor Di Yogyakarta 01,MB,13014217,10.41,13014217.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Tecton,Tecton Semen Tecton Khusus,PT Distributor Di Yogyakarta 01,FB,164567138,141.11,164567138.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Tecton,Tecton Semen Tecton Khusus,PT Distributor Di Yogyakarta 02,FB,166453484,131.32,166453484.0,1,2026,1
2026-01,DI YOGYAKARTA,KABUPATEN SLEMAN,Tecton,Tecton Semen Tecton Khusus,PT Distributor Di Yogyakarta 02,MB,143507990,126.31,143507990.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Kinetiq,Kinetiq Semen PCC Premium,PT Distributor Di Yogyakarta 01,MB,64069088,62.07,64069088.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Di Yogyakarta 02,FB,114885093,95.03,114885093.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Omnicore,Omnicore Semen PCC Premium,PT Distributor Di Yogyakarta 01,MB,16314627,16.22,16314627.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Omnicore,Omnicore Semen Tecton Khusus,PT Distributor Di Yogyakarta 03,MB,85102141,80.44,85102141.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Tecton,Tecton Semen PCC Premium,PT Distributor Di Yogyakarta 02,FB,68824788,67.74,68824788.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Tecton,Tecton Semen Portland Komposit,PT Distributor Di Yogyakarta 03,FB,86985738,72.9,86985738.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Tecton,Tecton Semen Portland Komposit,PT Distributor Di Yogyakarta 03,MB,39778977,33.65,39778977.0,1,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Tecton,Tecton Semen Portland Tipe I,PT Distributor Di Yogyakarta 01,MB,28392267,24.27,14196133.5,2,2026,1
2026-01,DI YOGYAKARTA,KOTA YOGYAKARTA,Tecton,Tecton Semen Portland Tipe I,PT Distributor Di Yogyakarta 02,MB,136547276,112.93,136547276.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Kinetiq,Kinetiq Semen Portland Komposit,PT Distributor Dki Jakarta 02,MB,53320747,50.59,53320747.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Kinetiq,Kinetiq Semen Portland Tipe I,PT Distributor Dki Jakarta 02,FB,142125892,145.89,142125892.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Dki Jakarta 01,FB,119249585,116.43,119249585.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Dki Jakarta 01,MB,134263718,113.23,134263718.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Dki Jakarta 03,FB,114842212,116.25,114842212.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Kinetiq,Kinetiq Semen Tecton Khusus,PT Distributor Dki Jakarta 03,MB,139612009,125.57,69806004.5,2,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Omnicore,Omnicore Semen PCC Premium,PT Distributor Dki Jakarta 01,FB,128429890,121.06,128429890.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Omnicore,Omnicore Semen PCC Premium,PT Distributor Dki Jakarta 03,FB,178735450,137.82,178735450.0,1,2026,1
2026-01,DKI JAKARTA,KOTA JAKARTA BARAT,Omnicore,Omnicore Semen Portland Tipe I,PT Distributor Dki Jakarta 01,MB,128975124,107.05,128975124.0,1,2026,1
