soldto_desc,province_desc,year_month,total_revenue,total_qty,n_products,n_transactions,year,month
PT Distributor Aceh 03,ACEH,2026-01,1195222186,1073.64,8,12,2026,1
PT Distributor Aceh 03,ACEH,2026-02,1246906194,1098.27,8,15,2026,2
PT Distributor Aceh 03,ACEH,2026-03,1642645077,1383.03,7,14,2026,3
PT Distributor Aceh 03,ACEH,2026-04,846673875,782.22,6,10,2026,4
PT Distributor Aceh 03,ACEH,2026-05,962890679,854.66,4,10,2026,5
PT Distributor Aceh 03,ACEH,2026-06,991770447,899.52,5,10,2026,6
PT Distributor Aceh 03,ACEH,2026-07,1169711394,1003.3299999999999,6,10,2026,7
PT Distributor Aceh 03,ACEH,2026-08,971109160,866.3,5,12,2026,8
PT Distributor Aceh 03,ACEH,2026-09,550246671,486.21,3,5,2026,9
PT Distributor Aceh 03,ACEH,2026-10,668300143,618.9200000000001,6,8,2026,10
PT Distributor Aceh 03,ACEH,2026-11,1299709583,1162.32,8,19,2026,11
PT Distributor Aceh 03,ACEH,2026-12,434748659,389.06,5,7,2026,12
PT Distributor Bali 01,BALI,2026-01,1046327642,913.43,6,13,2026,1
PT Distributor Bali 01,BALI,2026-02,1155362915,1035.6,6,12,2026,2
PT Distributor Bali 01,BALI,2026-03,807678689,751.41,4,8,2026,3
PT Distributor Bali 01,BALI,2026-04,1498098546,1281.4,7,15,2026,4
PT Distributor Bali 01,BALI,2026-05,886164295,751.59,6,11,2026,5
PT Distributor Bali 01,BALI,2026-06,1048380767,966.94,8,13,2026,6
PT Distributor Bali 01,BALI,2026-07,1081451659,989.61,8,12,2026,7
PT Distributor Bali 01,BALI,2026-08,1337546123,1148.66,7,11,2026,8
PT Distributor Bali 01,BALI,2026-09,1193797400,1111.56,7,13,2026,9
PT Distributor Bali 01,BALI,2026-10,682949906,630.4300000000001,6,11,2026,10
PT Distributor Bali 01,BALI,2026-11,864732786,742.26,5,8,2026,11
PT Distributor Bali 01,BALI,2026-12,737417851,654.4,5,10,2026,12
PT Distributor Bali 02,BALI,2026-01,825156576,737.65,6,11,2026,1
PT Distributor Bali 02,BALI,2026-02,610910349,572.4,6,8,2026,2
PT Distributor Bali 02,BALI,2026-03,1322666967,1187.38,7,16,2026,3
PT Distributor Bali 02,BALI,2026-04,1020135153,947.81,5,10,2026,4
PT Distributor Bali 02,BALI,2026-05,825396889,735.91,7,10,2026,5
PT Distributor Bali 02,BALI,2026-06,1015514697,922.82,8,12,2026,6
PT Distributor Bali 02,BALI,2026-07,850946035,778.6899999999999,4,9,2026,7
PT Distributor Bali 02,BALI,2026-08,1112514877,1045.55,5,12,2026,8
PT Distributor Bali 02,BALI,2026-09,1126116470,933.19,6,11,2026,9
PT Distributor Bali 02,BALI,2026-10,623373535,551.82,5,7,2026,10
PT Distributor Bali 02,BALI,2026-11,635677918,570.73,5,7,2026,11
PT Distributor Bali 02,BALI,2026-12,1511377187,1334.85,8,18,2026,12
PT Distributor Bali 03,BALI,2026-01,691355371,656.21,5,8,2026,1
PT Distributor Bali 03,BALI,2026-02,735634716,673.41,7,9,2026,2
PT Distributor Bali 03,BALI,2026-03,1003958942,921.77,8,13,2026,3
PT Distributor Bali 03,BALI,2026-04,495274061,445.08,7,8,2026,4
PT Distributor Bali 03,BALI,2026-05,1958226515,1698.69,7,18,2026,5
PT Distributor Bali 03,BALI,2026-06,573652123,476.52,6,9,2026,6
PT Distributor Bali 03,BALI,2026-07,1065208109,964.79,7,13,2026,7
PT Distributor Bali 03,BALI,2026-08,1375361864,1211.54,7,14,2026,8
PT Distributor Bali 03,BALI,2026-09,1358338977,1275.29,7,15,2026,9
PT Distributor Bali 03,BALI,2026-10,1732083004,1552.92,8,17,2026,10
PT Distributor Bali 03,BALI,2026-11,871228310,792.6899999999999,6,13,2026,11
PT Distributor Bali 03,BALI,2026-12,1503699904,1313.1399999999999,7,14,2026,12
PT Distributor Banten 01,BANTEN,2026-01,993660654,856.77,6,11,2026,1
PT Distributor Banten 01,BANTEN,2026-02,909280040,802.04,7,10,2026,2
PT Distributor Banten 01,BANTEN,2026-03,1623774482,1412.19,8,16,2026,3
PT Distributor Banten 01,BANTEN,2026-04,558281613,498.91,4,7,2026,4
PT Distributor Banten 01,BANTEN,2026-05,1312675333,1196.64,7,15,2026,5
PT Distributor Banten 01,BANTEN,2026-06,1519886697,1343.28,8,15,2026,6
PT Distributor Banten 01,BANTEN,2026-07,453257509,387.34,3,4,2026,7
PT Distributor Banten 01,BANTEN,2026-08,1087291517,983.66,8,12,2026,8
PT Distributor Banten 01,BANTEN,2026-09,1483736075,1308.63,9,15,2026,9
PT Distributor Banten 01,BANTEN,2026-10,835651508,687.04,6,8,2026,10
PT Distributor Banten 01,BANTEN,2026-11,987673991,882.7,6,12,2026,11
PT Distributor Banten 01,BANTEN,2026-12,1502169229,1394.26,10,16,2026,12
PT Distributor Banten 02,BANTEN,2026-01,1052480775,933.39,9,11,2026,1
PT Distributor Banten 02,BANTEN,2026-02,445281521,389.27,4,7,2026,2
PT Distributor Banten 02,BANTEN,2026-03,1478848488,1347.85,7,16,2026,3
PT Distributor Banten 02,BANTEN,2026-04,1361561447,1151.1100000000001,10,17,2026,4
PT Distributor Banten 02,BANTEN,2026-05,785132358,726.91,6,9,2026,5
PT Distributor Banten 02,BANTEN,2026-06,1851918791,1595.34,11,17,2026,6
PT Distributor Banten 02,BANTEN,2026-07,700586864,607.57,9,10,2026,7
PT Distributor Banten 02,BANTEN,2026-08,1032734203,942.75,10,14,2026,8
PT Distributor Banten 02,BANTEN,2026-09,901705805,807.8699999999999,6,8,2026,9
PT Distributor Banten 02,BANTEN,2026-10,717700154,631.1899999999999,7,10,2026,10
PT Distributor Banten 02,BANTEN,2026-11,766602511,660.03,9,11,2026,11
PT Distributor Banten 02,BANTEN,2026-12,1115293583,1044.3899999999999,7,13,2026,12
PT Distributor Banten 03,BANTEN,2026-01,710689687,620.67,5,7,2026,1
PT Distributor Banten 03,BANTEN,2026-02,472569513,420.65999999999997,6,6,2026,2
PT Distributor Banten 03,BANTEN,2026-03,825032264,681.71,6,8,2026,3
PT Distributor Banten 03,BANTEN,2026-04,1376255408,1215.79,8,15,2026,4
PT Distributor Banten 03,BANTEN,2026-05,741887003,634.6899999999999,8,15,2026,5
PT Distributor Banten 03,BANTEN,2026-06,1771616152,1546.91,8,20,2026,6
PT Distributor Banten 03,BANTEN,2026-07,483218551,432.64,4,6,2026,7
PT Distributor Banten 03,BANTEN,2026-08,1273308340,1092.5,9,17,2026,8
PT Distributor Banten 03,BANTEN,2026-09,1064870570,890.25,6,10,2026,9
PT Distributor Banten 03,BANTEN,2026-10,943777259,853.66,7,11,2026,10
PT Distributor Banten 03,BANTEN,2026-11,539946301,454.09,6,6,2026,11
PT Distributor Banten 03,BANTEN,2026-12,1693068588,1561.75,8,16,2026,12
PT Distributor Bengkulu 01,BENGKULU,2026-01,1457175244,1313.12,6,17,2026,1
PT Distributor Bengkulu 01,BENGKULU,2026-02,873438340,800.9200000000001,5,11,2026,2
PT Distributor Bengkulu 01,BENGKULU,2026-03,1032813214,900.6600000000001,6,11,2026,3
PT Distributor Bengkulu 01,BENGKULU,2026-04,1213061544,1071.8,7,12,2026,4
PT Distributor Bengkulu 01,BENGKULU,2026-05,1959467621,1723.8899999999999,8,22,2026,5
PT Distributor Bengkulu 01,BENGKULU,2026-06,1139743881,1001.03,6,13,2026,6
PT Distributor Bengkulu 01,BENGKULU,2026-07,1160362949,1042.39,6,15,2026,7
PT Distributor Bengkulu 01,BENGKULU,2026-08,846954985,762.15,5,9,2026,8
PT Distributor Bengkulu 01,BENGKULU,2026-09,588211497,533.63,6,8,2026,9
PT Distributor Bengkulu 01,BENGKULU,2026-10,696826100,598.9,3,8,2026,10
PT Distributor Bengkulu 01,BENGKULU,2026-11,1384665419,1277.43,7,13,2026,11
PT Distributor Bengkulu 01,BENGKULU,2026-12,1056339094,971.97,6,14,2026,12
PT Distributor Bengkulu 02,BENGKULU,2026-01,869599579,773.51,7,13,2026,1
PT Distributor Bengkulu 02,BENGKULU,2026-02,906988161,821.74,6,12,2026,2
PT Distributor Bengkulu 02,BENGKULU,2026-03,1557106192,1398.0900000000001,6,14,2026,3
PT Distributor Bengkulu 02,BENGKULU,2026-04,1454172807,1313.83,7,16,2026,4
PT Distributor Bengkulu 02,BENGKULU,2026-05,857309224,773.67,5,9,2026,5
PT Distributor Bengkulu 02,BENGKULU,2026-06,512240220,476.29,5,8,2026,6
PT Distributor Bengkulu 02,BENGKULU,2026-07,1286578034,1129.81,6,14,2026,7
PT Distributor Bengkulu 02,BENGKULU,2026-08,1003429254,940.95,5,12,2026,8
PT Distributor Bengkulu 02,BENGKULU,2026-09,771727717,720.14,6,12,2026,9
PT Distributor Bengkulu 02,BENGKULU,2026-10,959104471,875.89,5,10,2026,10
PT Distributor Bengkulu 02,BENGKULU,2026-11,940386605,852.5799999999999,6,11,2026,11
PT Distributor Bengkulu 02,BENGKULU,2026-12,953360201,830.36,5,11,2026,12
PT Distributor Bengkulu 03,BENGKULU,2026-01,1494166824,1288.32,6,16,2026,1
PT Distributor Bengkulu 03,BENGKULU,2026-02,971306865,869.33,6,11,2026,2
PT Distributor Bengkulu 03,BENGKULU,2026-03,896771455,828.5899999999999,6,9,2026,3
PT Distributor Bengkulu 03,BENGKULU,2026-04,806070778,733.05,6,8,2026,4
PT Distributor Bengkulu 03,BENGKULU,2026-05,1360904986,1204.38,7,15,2026,5
PT Distributor Bengkulu 03,BENGKULU,2026-06,696233413,610.58,3,8,2026,6
PT Distributor Bengkulu 03,BENGKULU,2026-07,1620327431,1490.18,7,16,2026,7
PT Distributor Bengkulu 03,BENGKULU,2026-08,1339425390,1135.86,7,14,2026,8
PT Distributor Bengkulu 03,BENGKULU,2026-09,1225760663,1094.39,6,11,2026,9
PT Distributor Bengkulu 03,BENGKULU,2026-10,987036442,869.91,8,12,2026,10
PT Distributor Bengkulu 03,BENGKULU,2026-11,1205363830,1097.33,7,16,2026,11
PT Distributor Bengkulu 03,BENGKULU,2026-12,951625923,835.72,7,9,2026,12
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-01,941080617,823.13,8,13,2026,1
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-02,968265162,829.25,7,10,2026,2
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-03,893399628,804.07,6,9,2026,3
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-04,1494361600,1371.27,8,16,2026,4
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-05,825500449,772.24,5,8,2026,5
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-06,1316939623,1163.1599999999999,9,16,2026,6
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-07,1332644902,1191.83,8,15,2026,7
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-08,949026894,855.21,8,11,2026,8
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-09,1537581161,1282.58,8,16,2026,9
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-10,1162083967,1007.5,9,12,2026,10
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-11,809640859,704.75,8,9,2026,11
PT Distributor Di Yogyakarta 01,DI YOGYAKARTA,2026-12,1094606196,965.06,8,13,2026,12
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-01,964590606,824.72,7,10,2026,1
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-02,1166385202,1011.54,7,13,2026,2
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-03,1002148696,886.42,8,12,2026,3
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-04,934192196,799.27,8,13,2026,4
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-05,614829520,570.79,6,6,2026,5
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-06,944017629,814.3,6,11,2026,6
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-07,1204098883,1046.42,10,15,2026,7
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-08,1636037942,1446.53,9,16,2026,8
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-09,1194325565,1038.87,8,14,2026,9
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-10,998720182,900.34,8,12,2026,10
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-11,1085002232,954.87,9,14,2026,11
PT Distributor Di Yogyakarta 02,DI YOGYAKARTA,2026-12,1195391153,1031.73,9,14,2026,12
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-01,409460191,354.55,7,8,2026,1
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-02,907669878,758.47,7,10,2026,2
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-03,1147827202,987.55,9,15,2026,3
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-04,910944054,849.1800000000001,6,10,2026,4
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-05,1408178777,1200.5900000000001,7,12,2026,5
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-06,1166205173,1033.36,8,13,2026,6
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-07,1901078755,1689.24,11,21,2026,7
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-08,1323867488,1129.62,9,11,2026,8
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-09,416112722,389.28,4,5,2026,9
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-10,334188362,292.55,4,6,2026,10
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-11,944319846,848.14,6,9,2026,11
PT Distributor Di Yogyakarta 03,DI YOGYAKARTA,2026-12,520766984,478.87,6,9,2026,12
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-01,1423781751,1265.15,7,14,2026,1
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-02,963957020,869.5699999999999,7,10,2026,2
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-03,737777418,637.68,4,7,2026,3
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-04,1149140164,1011.3399999999999,8,12,2026,4
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-05,1203822528,1099.88,8,13,2026,5
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-06,206302376,201.22,2,3,2026,6
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-07,1088343424,944.43,10,15,2026,7
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-08,1049531677,947.19,7,11,2026,8
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-09,1536684687,1391.27,10,18,2026,9
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-10,952902155,855.55,9,13,2026,10
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-11,1335628804,1220.4,7,12,2026,11
PT Distributor Dki Jakarta 01,DKI JAKARTA,2026-12,913069698,832.64,6,9,2026,12
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-01,884472877,798.68,6,8,2026,1
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-02,1034768696,908.49,6,9,2026,2
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-03,1245298870,1070.77,9,12,2026,3
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-04,1088642106,952.24,8,13,2026,4
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-05,997038864,857.27,6,12,2026,5
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-06,1190949934,1046.24,9,15,2026,6
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-07,1005870779,870.1700000000001,8,12,2026,7
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-08,1242637792,1115.01,10,13,2026,8
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-09,1145295518,1049.32,8,13,2026,9
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-10,1349682620,1221.84,7,13,2026,10
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-11,1144809300,1063.78,7,12,2026,11
PT Distributor Dki Jakarta 02,DKI JAKARTA,2026-12,1564805716,1331.77,9,14,2026,12
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-01,957126176,830.13,6,11,2026,1
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-02,912576541,810.91,7,10,2026,2
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-03,895841298,826.85,8,14,2026,3
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-04,1233849215,1116.23,9,15,2026,4
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-05,1047559562,983.54,8,12,2026,5
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-06,1249421926,1083.99,10,17,2026,6
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-07,997729292,894.06,8,14,2026,7
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-08,684196234,615.93,6,7,2026,8
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-09,976625306,865.6700000000001,7,12,2026,9
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-10,952717112,820.53,9,12,2026,10
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-11,1233251460,1090.5,8,13,2026,11
PT Distributor Dki Jakarta 03,DKI JAKARTA,2026-12,1026329253,887.1800000000001,8,12,2026,12
PT Distributor Gorontalo 01,GORONTALO,2026-01,679963716,602.5699999999999,2,7,2026,1
PT Distributor Gorontalo 01,GORONTALO,2026-02,1002715752,857.47,4,10,2026,2
PT Distributor Gorontalo 01,GORONTALO,2026-03,854349634,750.76,4,10,2026,3
PT Distributor Gorontalo 01,GORONTALO,2026-04,1077152132,966.72,4,13,2026,4
PT Distributor Gorontalo 01,GORONTALO,2026-05,1437407100,1255.99,4,15,2026,5
PT Distributor Gorontalo 01,GORONTALO,2026-06,1167078984,1050.27,3,11,2026,6
PT Distributor Gorontalo 01,GORONTALO,2026-07,1573356102,1433.33,4,17,2026,7
PT Distributor Gorontalo 01,GORONTALO,2026-08,1189885570,1049.39,4,11,2026,8
PT Distributor Gorontalo 01,GORONTALO,2026-09,978393713,908.92,4,12,2026,9
PT Distributor Gorontalo 01,GORONTALO,2026-10,728307434,676.52,4,10,2026,10
PT Distributor Gorontalo 01,GORONTALO,2026-11,957178900,879.13,4,9,2026,11
PT Distributor Gorontalo 01,GORONTALO,2026-12,1505270303,1375.25,4,18,2026,12
PT Distributor Gorontalo 02,GORONTALO,2026-01,970957785,831.18,4,11,2026,1
PT Distributor Gorontalo 02,GORONTALO,2026-02,1201635377,1062.8,4,10,2026,2
PT Distributor Gorontalo 02,GORONTALO,2026-03,870197016,766.27,3,8,2026,3
PT Distributor Gorontalo 02,GORONTALO,2026-04,720014423,660.88,4,8,2026,4
PT Distributor Gorontalo 02,GORONTALO,2026-05,355548219,314.28000000000003,4,5,2026,5
PT Distributor Gorontalo 02,GORONTALO,2026-06,480841563,443.5,3,6,2026,6
PT Distributor Gorontalo 02,GORONTALO,2026-07,720809727,612.06,3,8,2026,7
PT Distributor Gorontalo 02,GORONTALO,2026-08,1390867198,1281.28,4,13,2026,8
PT Distributor Gorontalo 02,GORONTALO,2026-09,959468277,836.37,4,10,2026,9
PT Distributor Gorontalo 02,GORONTALO,2026-10,641751808,559.06,4,8,2026,10
PT Distributor Gorontalo 02,GORONTALO,2026-11,647126909,559.4,4,10,2026,11
PT Distributor Gorontalo 02,GORONTALO,2026-12,741670370,669.97,4,10,2026,12
PT Distributor Gorontalo 03,GORONTALO,2026-01,847155176,751.12,4,11,2026,1
PT Distributor Gorontalo 03,GORONTALO,2026-02,1292205940,1159.19,4,17,2026,2
PT Distributor Gorontalo 03,GORONTALO,2026-03,550668889,512.77,3,8,2026,3
PT Distributor Gorontalo 03,GORONTALO,2026-04,1343144448,1182.31,4,13,2026,4
PT Distributor Gorontalo 03,GORONTALO,2026-05,1138827445,967.55,4,12,2026,5
PT Distributor Gorontalo 03,GORONTALO,2026-06,705683608,620.28,4,10,2026,6
PT Distributor Gorontalo 03,GORONTALO,2026-07,936040411,808.8,3,10,2026,7
PT Distributor Gorontalo 03,GORONTALO,2026-08,2267031960,1972.21,4,24,2026,8
PT Distributor Gorontalo 03,GORONTALO,2026-09,847701725,755.53,4,10,2026,9
PT Distributor Gorontalo 03,GORONTALO,2026-10,1413804427,1200.82,4,16,2026,10
PT Distributor Gorontalo 03,GORONTALO,2026-11,823855288,724.25,4,9,2026,11
PT Distributor Gorontalo 03,GORONTALO,2026-12,961819920,856.89,4,13,2026,12
PT Distributor Jambi 01,JAMBI,2026-01,2617272185,2313.8,10,30,2026,1
PT Distributor Jambi 01,JAMBI,2026-02,1348220837,1232.04,9,20,2026,2
PT Distributor Jambi 01,JAMBI,2026-03,2768765238,2475.56,11,27,2026,3
PT Distributor Jambi 01,JAMBI,2026-04,1516665652,1339.62,9,20,2026,4
PT Distributor Jambi 01,JAMBI,2026-05,2491727142,2167.52,10,25,2026,5
PT Distributor Jambi 01,JAMBI,2026-06,1746930513,1523.8,11,22,2026,6
PT Distributor Jambi 01,JAMBI,2026-07,2832266913,2519.12,10,28,2026,7
PT Distributor Jambi 01,JAMBI,2026-08,2278167251,2052.43,10,24,2026,8
PT Distributor Jambi 01,JAMBI,2026-09,2696238258,2347.0299999999997,10,28,2026,9
PT Distributor Jambi 01,JAMBI,2026-10,2697811336,2427.59,12,28,2026,10
PT Distributor Jambi 01,JAMBI,2026-11,2148386330,1985.31,10,25,2026,11
PT Distributor Jambi 01,JAMBI,2026-12,2432487445,2159.12,10,25,2026,12
PT Distributor Jambi 02,JAMBI,2026-01,2351185384,2120.85,9,23,2026,1
PT Distributor Jambi 02,JAMBI,2026-02,2698453188,2365.61,12,27,2026,2
PT Distributor Jambi 02,JAMBI,2026-03,2736465858,2417.18,9,27,2026,3
PT Distributor Jambi 02,JAMBI,2026-04,1910771359,1710.52,12,20,2026,4
PT Distributor Jambi 02,JAMBI,2026-05,2442259841,2113.38,11,29,2026,5
PT Distributor Jambi 02,JAMBI,2026-06,2423863373,2116.42,10,22,2026,6
PT Distributor Jambi 02,JAMBI,2026-07,2156262890,1879.62,10,24,2026,7
PT Distributor Jambi 02,JAMBI,2026-08,1480349634,1379.2,9,20,2026,8
PT Distributor Jambi 02,JAMBI,2026-09,2439391042,2174.54,11,24,2026,9
PT Distributor Jambi 02,JAMBI,2026-10,2005325517,1854.65,9,21,2026,10
PT Distributor Jambi 02,JAMBI,2026-11,1668999823,1467.17,10,19,2026,11
PT Distributor Jambi 02,JAMBI,2026-12,1377960871,1218.67,8,14,2026,12
PT Distributor Jambi 03,JAMBI,2026-01,2390028716,2118.91,9,24,2026,1
PT Distributor Jambi 03,JAMBI,2026-02,1488643813,1316.27,9,18,2026,2
PT Distributor Jambi 03,JAMBI,2026-03,2910630978,2603.59,10,28,2026,3
PT Distributor Jambi 03,JAMBI,2026-04,1988254914,1768.32,10,27,2026,4
PT Distributor Jambi 03,JAMBI,2026-05,1901850566,1678.6,10,23,2026,5
PT Distributor Jambi 03,JAMBI,2026-06,1373511001,1217.98,10,18,2026,6
PT Distributor Jambi 03,JAMBI,2026-07,1763921038,1599.23,12,22,2026,7
PT Distributor Jambi 03,JAMBI,2026-08,1982057737,1811.82,10,25,2026,8
PT Distributor Jambi 03,JAMBI,2026-09,2416241623,2123.16,10,28,2026,9
PT Distributor Jambi 03,JAMBI,2026-10,2691675365,2324.78,10,26,2026,10
PT Distributor Jambi 03,JAMBI,2026-11,2714456588,2381.57,11,28,2026,11
PT Distributor Jambi 03,JAMBI,2026-12,2554572433,2245.98,11,26,2026,12
PT Distributor Jawa Barat 01,JAWA BARAT,2026-01,1490222587,1312.48,8,13,2026,1
PT Distributor Jawa Barat 01,JAWA BARAT,2026-02,1164089139,1008.36,8,11,2026,2
PT Distributor Jawa Barat 01,JAWA BARAT,2026-03,1391302599,1258.87,8,12,2026,3
PT Distributor Jawa Barat 01,JAWA BARAT,2026-04,1014332548,851.4300000000001,8,11,2026,4
PT Distributor Jawa Barat 01,JAWA BARAT,2026-05,1145930498,1027.67,5,10,2026,5
PT Distributor Jawa Barat 01,JAWA BARAT,2026-06,1591700009,1469.84,11,20,2026,6
PT Distributor Jawa Barat 01,JAWA BARAT,2026-07,1153008775,1008.52,6,11,2026,7
PT Distributor Jawa Barat 01,JAWA BARAT,2026-08,944852342,857.8199999999999,7,9,2026,8
PT Distributor Jawa Barat 01,JAWA BARAT,2026-09,1000916429,933.28,7,12,2026,9
PT Distributor Jawa Barat 01,JAWA BARAT,2026-10,1439435053,1265.16,10,15,2026,10
PT Distributor Jawa Barat 01,JAWA BARAT,2026-11,1315340859,1179.14,10,13,2026,11
PT Distributor Jawa Barat 01,JAWA BARAT,2026-12,1154753178,1059.8,8,14,2026,12
PT Distributor Jawa Barat 02,JAWA BARAT,2026-01,995221610,842.05,7,9,2026,1
PT Distributor Jawa Barat 02,JAWA BARAT,2026-02,801355881,684.66,6,7,2026,2
PT Distributor Jawa Barat 02,JAWA BARAT,2026-03,956164766,834.5799999999999,9,12,2026,3
PT Distributor Jawa Barat 02,JAWA BARAT,2026-04,1365636935,1257.63,8,15,2026,4
PT Distributor Jawa Barat 02,JAWA BARAT,2026-05,1391604032,1234.66,8,13,2026,5
PT Distributor Jawa Barat 02,JAWA BARAT,2026-06,366651255,318.72,4,4,2026,6
PT Distributor Jawa Barat 02,JAWA BARAT,2026-07,1098349052,973.79,8,11,2026,7
